索引	英文标注	中文	韩文	港澳台	空行
1	OK	执行操作成功	변경 성공	執行操作成功	
2	Error	对不起，出现错误了，请尝试其他操作或者重新登录游戏再继续吧。	재 로그인 하세요	對不起，出現錯誤了，請嘗試其他操作或者重新登錄遊戲再繼續吧。	
3	GFalse	不允许执行该操作	요청한 작업을 실행할 수 없습니다	不允許執行該操作	
7	ForeverLoopError	循环意外出错	예상치 못한 오류 순환	迴圈意外出錯	
10	ConfigError	配置错误	오류 배치	配置錯誤	
15	LevelMax	等级达到最高	최대 레벨을 달성하였습니다.	等級達到最高	
16	LackGold	缺少元宝	원보가 부족합니다.	缺少元寶	
17	LackMoney	缺少铜钱	은전이 부족합니다.	缺少銅錢	
18	LackEnergy	缺少体力	체력부족	缺少體力	
19	PassLimit	关联关卡未通过	해당 던전을 통과하지 않았습니다	關聯關卡未通過	
20	LackFight	缺少战斗力	전투력 부족	缺少戰鬥力	
21	LackItem	缺少物品	아이템 부족	缺少物品	
22	FighterAmountMax	可装备战斗角色卡数量达到最大	장비전투 가능 무장 수가 최대치에 도달했습니다	可裝備戰鬥角色卡數量達到最大	
23	FighterSoltFull	战斗位置已有角色卡	전투란에 이미 무장 카드가 있습니다	戰鬥位置已有角色卡	
24	LackFighterSlot	缺少可用角色卡位置	사용 가능한 무장 카드란이 부족합니다	缺少可用角色卡位置	
25	FighterSlotEmpty	战斗位置为空	전투칸이 비었습니다	戰鬥位置為空	
26	EquipSlotEmpty	装备位置为空	장비카이 비었습니다	裝備位置為空	
27	SkillSlotEmpty	技能位置为空	스킬칸이 비었습니다	技能位置為空	
28	LackEquipSlot	缺少可用装备卡位置	사용 가능한 장비카드란이 부족합니다	缺少可用裝備卡位置	
29	LackSkillSlot	缺少可用技能卡位置	사용 가능한 스킬카드란이 부족합니다	缺少可用技能卡位置	
30	EquipAmountMax	可装备装备卡数量达到最大	적용 가능한 장비카드 수가 최대치에 도달했습니다	可裝備裝備卡數量達到最大	
31	SkillAmountMax	可装备技能卡数量达到最大	적용 가능한 스킬카드 수가 최대치에 도달했습니다	可裝備技能卡數量達到最大	
40	CardIDInvalid	卡片id无效，卡牌配置表无对于id	카드 id 무효. 카드 배치표와 id가 불일치합니다	卡片id無效，卡牌配置表無對於id	
50	DailyLimit	每日限制	해당 던전의 일일 도전 가능 횟수를 모두 사용하였습니다.	每日限制	
51	LevelLimit	等级限制	레벨 제한	等級限制	
52	TimeLimit	时间限制	시간 제한	時間限制	
53	FightLimit	战斗力限制	전투력 제한	戰鬥力限制	
54	MopTokenLack	扫荡令不足	소탕패 부족	掃蕩令不足	
60	BagTypeError	背包类型错误，只有四种背包类型	가방 타입 오류. 가방 타입은 4가지 뿐입니다.	背包類型錯誤，只有四種背包類型	
61	ItemSlotError	物品位置错误，该位置超出了最大背包数	아이템란 오류. 해당 위치는 최대 가방 수를 초과했습니다	物品位置錯誤，該位置超出了最大背包數	
62	SlotHasNoItem	Slot位置上没有物品	슬롯란에 아이템이 없습니다	Slot位置上沒有物品	
63	SlotHasItem	该位置上已有物品	해당 란에 이미 아이템이 있습니다	該位置上已有物品	
64	AboveItemOverlap	超出物品最大叠加数	아이템 최대 중복 수를 초과했습니다	超出物品最大疊加數	
65	BagFull	背包已满	더 이상 보유할 수 없습니다.	背包已滿	
66	BagNotEnough	武将已满，请清理	무장이 가득 찼습니다. 	武將已滿，請清理	
67	GoodsNotEnough	物品不够	재료가 부족합니다.	物品不夠	
68	ItemNoUseFunc	物品没有配置使用函数	아이템 배치 사용 함수가 없습니다	物品沒有配置使用函數	
69	NotDeleteItem	使用物品后不用删除物品	아이템 사용 후 삭제할 필요가 없습니다	使用物品後不用刪除物品	
