ID	类型	数量	概率	名字	空行
37	2	1	100	精•双股剑	
38	2	1	33	精•双股剑+1	
39	2	1	17	精•双股剑+2	
40	2	1	3	精•双股剑+3	
41	2	1	2	精•双股剑+4	
42	2	1	1	精•双股剑+5	
43	2	1	100	精•龙鳞刀	
44	2	1	33	精•龙鳞刀+1	
45	2	1	17	精•龙鳞刀+2	
46	2	1	3	精•龙鳞刀+3	
47	2	1	2	精•龙鳞刀+4	
48	2	1	1	精•龙鳞刀+5	
49	2	1	100	精•黄金戟	
50	2	1	33	精•黄金戟+1	
51	2	1	17	精•黄金戟+2	
52	2	1	3	精•黄金戟+3	
53	2	1	2	精•黄金戟+4	
54	2	1	1	精•黄金戟+5	
55	2	1	1	倚天剑	
61	2	1	1	古锭刀	
67	2	1	1	月牙戟	
109	2	1	300	精•银麟铠甲	
110	2	1	100	精•银麟铠甲+1	
111	2	1	50	精•银麟铠甲+2	
112	2	1	10	精•银麟铠甲+3	
113	2	1	5	精•银麟铠甲+4	
114	2	1	1	精•银麟铠甲+5	
115	2	1	300	精•龙鳞头盔	
116	2	1	100	精•龙鳞头盔+1	
117	2	1	50	精•龙鳞头盔+2	
118	2	1	10	精•龙鳞头盔+3	
119	2	1	5	精•龙鳞头盔+4	
120	2	1	1	精•龙鳞头盔+5	
121	2	1	300	精•沧月项链	
122	2	1	100	精•沧月项链+1	
123	2	1	50	精•沧月项链+2	
124	2	1	10	精•沧月项链+3	
125	2	1	5	精•沧月项链+4	
126	2	1	1	精•沧月项链+5	
127	2	1	1	玄武铠甲	
133	2	1	1	朱雀头盔	
139	2	1	1	麒麟项链	
