id	名称	竞标底价	开始竞标时间	竞标持续时间	战斗准备持续时间	战斗持续时间	每日奖励	需要公会等级	空列
1	天水	50000	{1,13,0,0}	115200	86400	3600	{{-3,4,2000000},{79,4,1},{80,4,1}}	6	
2	成都	75000	{4,13,0,0}	115200	86400	3600	{{-3,4,3000000},{-6,4,10000},{78,4,1}}	9	
3	漢中	50000	{2,13,0,0}	115200	86400	3600	{{-3,4,2000000},{83,4,1},{51,4,5}}	5	
4	建寧	10000	{4,13,0,0}	115200	86400	3600	{{-3,4,1000000},{-6,4,2500},{44,4,5}}	1	
5	永安	10000	{2,13,0,0}	115200	86400	3600	{{-3,4,1000000},{47,4,3},{4,4,5}}	2	
6	長安	100000	{5,13,0,0}	115200	86400	3600	{{-3,4,4000000},{-2,4,300},{78,4,1}}	10	
7	南皮	30000	{1,13,0,0}	115200	86400	3600	{{-3,4,1500000},{-2,4,100},{82,4,1}}	4	
8	江夏	30000	{5,13,0,0}	115200	86400	3600	{{-3,4,1500000},{-6,4,5000},{44,4,10}}	4	
9	許昌	75000	{3,13,0,0}	115200	86400	3600	{{-3,4,3000000},{48,4,5},{49,4,5}}	8	
10	建安	50000	{3,13,0,0}	115200	86400	3600	{{-3,4,2000000},{-2,4,150},{73,4,4}}	6	
11	建業	75000	{6,13,0,0}	115200	86400	3600	{{-3,4,3000000},{50,4,1},{48,4,5}}	7	
12	下邳	30000	{7,13,0,0}	115200	86400	3600	{{-3,4,1500000},{38,4,2},{47,4,3}}	3	
