ID	类型	数量	概率	名字	空行
22	2	1	100	雙股劍	
27	2	1	100	龍鱗刀	
32	2	1	100	黃金戟	
94	2	1	300	銀麟鎧甲	
99	2	1	300	龍鱗頭盔	
104	2	1	300	滄月項鏈	
23	2	1	100	雙股劍+1	
28	2	1	100	龍鱗刀+1	
33	2	1	100	黃金戟+1	
95	2	1	300	銀麟鎧甲+1	
100	2	1	300	龍鱗頭盔+1	
105	2	1	300	滄月項鏈+1	
24	2	1	100	雙股劍+2	
29	2	1	100	龍鱗刀+2	
34	2	1	100	黃金戟+2	
96	2	1	300	銀麟鎧甲+2	
101	2	1	300	龍鱗頭盔+2	
106	2	1	300	滄月項鏈+2	
25	2	1	100	雙股劍+3	
30	2	1	100	龍鱗刀+3	
35	2	1	100	黃金戟+3	
97	2	1	300	銀麟鎧甲+3	
102	2	1	300	龍鱗頭盔+3	
107	2	1	300	滄月項鏈+3	
26	2	1	100	雙股劍+4	
31	2	1	100	龍鱗刀+4	
36	2	1	100	黃金戟+4	
98	2	1	300	銀麟鎧甲+4	
103	2	1	300	龍鱗頭盔+4	
108	2	1	300	滄月項鏈+4	
501	2	1	100	雙股劍+5	
502	2	1	100	龍鱗刀+5	
503	2	1	100	黃金戟+5	
504	2	1	300	銀麟鎧甲+5	
505	2	1	300	龍鱗頭盔+5	
506	2	1	300	滄月項鏈+5	
507	2	1	100	雙股劍+6	
508	2	1	100	龍鱗刀+6	
509	2	1	100	黃金戟+6	
510	2	1	300	銀麟鎧甲+6	
511	2	1	300	龍鱗頭盔+6	
512	2	1	300	滄月項鏈+6	
37	2	1	20	精•雙股劍	
43	2	1	20	精•龍鱗刀	
49	2	1	20	精•黃金戟	
109	2	1	60	精•銀麟鎧甲	
115	2	1	60	精•龍鱗頭盔	
121	2	1	60	精•滄月項鏈	
