序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
0	0	-1	1	我：為什麼我在這裏？這些打打殺殺的是要怎樣啦！	56	2	公孫瓚：兄弟別廢話了，趕緊殺了這幫黃巾亂黨，好向朝廷領賞。	-1	1	我：黃巾軍？我擦，難道我到了東漢末年？請，請，請問這位猛將兄，我不會打仗啊。	56	2	公孫瓚：少廢話了，等下我要放大招，你也一起來吧！										
1	0	90001	2	黃巾士兵甲：我大天公將軍張角有令，凡從本城過境者，每人必須繳納文銀二十兩！	-1	1	我：我擦，這黃巾軍，歷史書上不是說好的是農民起義麼？怎麼也趁火打劫啊？	90002	1	A將：主公勿憂，待末將誅殺這些為禍百姓的惡賊便是！													
2	0	-1	1	我：怎麼前面又是一大片黃燦燦的人啊？	90002	1	A將：主公，此路到處都是黃金亂黨，我們還要從這兒過麼？	-1	1	我：沒法啊，要幹成大事兒，先得找到劉皇叔。	90002	1	A將：主公，末將不才，敢問劉皇叔是誰？	-1	1	我：劉皇叔就是劉備啊。	90002	1	A將：這劉備又是何許人	-1	1	我：你沒學過初中歷史麼？！好吧，先滅了這幫黃巾我再告訴你。	
3	0	90002	1	A將：主公，前面有人在燒殺劫掠	-1	1	我：我去，怎麼又是黃巾軍？所謂農民起義都這麼有內涵麼？	90002	1	A將：主公，什麼是內涵？	-1	1	我：內涵就是.....算了，還是先滅了這群暴徒！	90002	1	A將：那什麼又是滅了？	-1	1	我：求你別問了，動手吧！				
4	0	90003	2	黃巾頭目：你，你，你，是何，何，何方妖魔，竟敢來，來，來犯我黃，黃，黃巾大，大，大軍	90002	1	A將：主公，這廝還是結巴。	-1	1	我：我，我，我，我是你，你，你爺爺，當，當，當年不，不，不，不，小心生，生，生，下，下，下，了你爹這個野種	90003	2	黃巾頭目：大，大，大，大膽狂，狂，狂，狂徒，納，納，納，納命來！	-1	1	我：我擦，幹他！	90002	1	A將：主公，什麼叫幹他！	-1	1	我：就是讓你殺了他........	
5	1	90003	2	黃巾頭目：你，你，你，冒，冒，冒，冒犯天公將，將，將軍的神威，將死，死，無，無，無葬身之地！	90002	1	A將：主，主，主，主公，要，要，要不要一刀瞭解他	-1	1	我：你怎麼也學起他結巴來了，此人暫且收押，前面還需要個指路的，我們這點兵馬，得繞開黃巾的大部隊才行啊。	90002	1	A將：唉，主公，你說的那個劉皇叔到底在哪兒啊...										
6	0	90004	2	黃巾士兵乙：何方兵馬，敢與我黃巾大軍為敵？	-1	1	我：我去，那個死結巴坑我，不是說這條路上沒什麼兵馬的麼？	90002	1	A將：主公，連續作戰我軍恐怕有點吃不消啊！	-1	1	我：餓貨，打完此戰請你吃哈根達斯	90002	1	A將：得令！唉，主公，什麼是哈根打死？	-1	1	我：達斯....不是打死.....唉，先打死這幫禍害再說。				
7	0	90002	1	A將：主公，那個劉皇叔到底是何方神聖，值得咱們這麼辛苦的尋找啊？	-1	1	我：別鬧，再過幾個關隘，就要到涿郡了，史書記載劉備會在那裏賣草鞋	90002	1	A將：一個賣草鞋的有什麼好稀罕？末將的娘子還有個妹妹，精通各種草鞋，草席，草帽....要不介紹給主公？	-1	1	我：拜託...我不是為了幾雙破鞋才出來混的，	90002	1	A將：主公，不好了，又有黃巾軍！							
8	0	90005	2	黃巾妖女：聽說有小股流寇，燒殺至此，敢問可是閣下？	-1	1	我：嘿嘿，我不是流寇，我每個月都在繳個人所得稅，醫保，社保都按時買了的	90002	1	A將：主公，你在說什麼，我愈發聽不懂了	-1	1	我：大哥，我求你了，你沒看出來我是在轉移他的注意力，好讓你趁機動手麼？	90005	2	黃巾妖女：哼，雕蟲小技，也敢在本將面前擺弄！吃我一刀！							
9	0	90006	2	程遠志：大膽草寇，敢來犯我青木關！	-1	1	我：過了青木關，就是涿郡了，弟兄們，榮華富貴近在咫尺啊！	90014	2	黃巾：本將麾下皆是神兵天將，你以為我會讓你活著過去？	-1	1	我：泥馬，這麼多人，要是有把AK-47就好了....	90002	1	A將：主公，什麼是挨克四十七.....							
