城池	主将id	主将阶级	主将等级	副将1id	副将1阶级	副将1等级	副将2id	副将2阶级	副将2等级	小兵1ID	小兵2ID	小兵3ID	小兵等级	金币	物品1_ID	物品1类型	物品1数量	物品1概率	物品2_ID	物品2类型	物品2数量	物品2概率	物品3_ID	物品3类型	物品3数量	物品3概率	物品4_ID	物品4类型	物品4数量	物品4概率	物品5_ID	物品5类型	物品5数量	物品5概率	消耗能量	空列
11	114	12	320							1103	2103	3103	1	5000	114	5	1	100	81	4	1	50													5	
12	114	21	510							1103	2103	3103	30	10000	114	5	1	100	82	4	1	30													5	
13	114	32	760							1104	2104	3104	40	15000	114	5	1	100	83	4	1	15													5	
14	114	32	1500							1105	2105	3105	50	20000	114	5	1	100	84	4	1	10													5	
21	127	12	420							1103	2103	3103	1	5000	127	5	1	100	81	4	1	50													5	
22	127	21	650							1103	2103	3103	30	10000	127	5	1	100	82	4	1	30													5	
23	127	32	900							1104	2104	3104	40	15000	127	5	1	100	83	4	1	15													5	
24	127	32	1700							1105	2105	3105	50	20000	127	5	1	100	84	4	1	10													5	
31	115	12	320							1103	2103	3103	1	5000	115	5	1	100	81	4	1	50													5	
32	115	21	510							1103	2103	3103	30	10000	115	5	1	100	82	4	1	30													5	
33	115	32	760							1104	2104	3104	40	15000	115	5	1	100	83	4	1	15													5	
34	115	32	1500							1105	2105	3105	50	20000	115	5	1	100	84	4	1	10													5	
41	133	12	220							1103	2103	3103	1	5000	133	5	1	100	81	4	1	50													5	
42	133	21	350							1103	2103	3103	30	10000	133	5	1	100	82	4	1	30													5	
43	133	32	560							1104	2104	3104	40	15000	133	5	1	100	83	4	1	15													5	
44	133	32	1200							1105	2105	3105	50	20000	133	5	1	100	84	4	1	10													5	
51	126	12	220							1103	2103	3103	1	5000	126	5	1	100	81	4	1	50													5	
52	126	21	350							1103	2103	3103	30	10000	126	5	1	100	82	4	1	30													5	
53	126	32	560							1104	2104	3104	40	15000	126	5	1	100	83	4	1	15													5	
54	126	32	1200							1105	2105	3105	50	20000	126	5	1	100	84	4	1	10													5	
61	132	12	620							1103	2103	3103	1	5000	132	5	1	100	81	4	1	50													5	
62	132	21	910							1103	2103	3103	30	10000	132	5	1	100	82	4	1	30													5	
63	132	32	1060							1104	2104	3104	40	15000	132	5	1	100	83	4	1	15													5	
64	132	32	2000							1105	2105	3105	50	20000	132	5	1	100	84	4	1	10													5	
71	135	12	220							1103	2103	3103	1	5000	135	5	1	100	81	4	1	50													5	
72	135	21	350							1103	2103	3103	30	10000	135	5	1	100	82	4	1	30													5	
73	135	32	560							1104	2104	3104	40	15000	135	5	1	100	83	4	1	15													5	
74	135	32	1200							1105	2105	3105	50	20000	135	5	1	100	84	4	1	10													5	
81	116	12	220							1103	2103	3103	1	5000	116	5	1	100	81	4	1	50													5	
82	116	21	350							1103	2103	3103	30	10000	116	5	1	100	82	4	1	30													5	
83	116	32	560							1104	2104	3104	40	15000	116	5	1	100	83	4	1	15													5	
84	116	32	1200							1105	2105	3105	50	20000	116	5	1	100	84	4	1	10													5	
91	139	12	420							1103	2103	3103	1	5000	139	5	1	100	81	4	1	50													5	
92	139	21	650							1103	2103	3103	30	10000	139	5	1	100	82	4	1	30													5	
93	139	32	900							1104	2104	3104	40	15000	139	5	1	100	83	4	1	15													5	
94	139	32	1700							1105	2105	3105	50	20000	139	5	1	100	84	4	1	10													5	
101	136	12	320							1103	2103	3103	1	5000	136	5	1	100	81	4	1	50													5	
102	136	21	510							1103	2103	3103	30	10000	136	5	1	100	82	4	1	30													5	
103	136	32	760							1104	2104	3104	40	15000	136	5	1	100	83	4	1	15													5	
104	136	32	1500							1105	2105	3105	50	20000	136	5	1	100	84	4	1	10													5	
111	118	12	420							1103	2103	3103	1	5000	118	5	1	100	81	4	1	50													5	
112	118	21	650							1103	2103	3103	30	10000	118	5	1	100	82	4	1	30													5	
113	118	32	900							1104	2104	3104	40	15000	118	5	1	100	83	4	1	15													5	
114	118	32	1700							1105	2105	3105	50	20000	118	5	1	100	84	4	1	10													5	
121	124	12	220							1103	2103	3103	1	5000	124	5	1	100	81	4	1	50													5	
122	124	21	350							1103	2103	3103	30	10000	124	5	1	100	82	4	1	30													5	
123	124	32	560							1104	2104	3104	40	15000	124	5	1	100	83	4	1	15													5	
124	124	32	1200							1105	2105	3105	50	20000	124	5	1	100	84	4	1	10													5	
