ID	姓名	是否掉落	掉落章节	副本类型	掉落描述1	掉落描述2	掉落描述3	掉落描述4	掉落描述5	掉落描述6	空行
32	皇甫嵩	1	12	1	招募中抽取獲得						
33	劉璋	1	12	1	招募中抽取獲得						
34	張繡	1	12	1	招募中抽取獲得						
35	曹節	1	12	1	招募中抽取獲得						
36	程普	1	12	1	招募中抽取獲得						
37	孫魯班	1	12	1	招募中抽取獲得						
38	朱然	1	12	1	招募中抽取獲得						
39	淩操	1	12	1	招募中抽取獲得						
40	關平				招募中抽取獲得						
41	魏延				招募中抽取獲得						
42	張苞				招募中抽取獲得						
43	法正				招募中抽取獲得						
44	關興				招募中抽取獲得						
45	鮑三娘				招募中抽取獲得						
46	周倉				招募中抽取獲得						
47	關索				招募中抽取獲得						
48	夏侯霸				招募中抽取獲得						
49	嚴顏				招募中抽取獲得						
50	孟獲				招募中抽取獲得						
51	袁紹				招募中抽取獲得						
52	華雄				招募中抽取獲得						
53	顏良				招募中抽取獲得						
54	文醜				招募中抽取獲得						
55	真•黃忠				招募中抽取獲得						
56	公孫瓚				招募中抽取獲得						
57	高順				招募中抽取獲得						
58	李儒				招募中抽取獲得						
59	張任				招募中抽取獲得						
60	典韋				招募中抽取獲得						
61	許褚				招募中抽取獲得						
62	曹彰				招募中抽取獲得						
63	龐德				招募中抽取獲得						
64	張郃				招募中抽取獲得						
65	徐晃				招募中抽取獲得						
66	於禁				招募中抽取獲得						
67	周泰				招募中抽取獲得						
68	淩統				招募中抽取獲得						
69	黃蓋				招募中抽取獲得						
70	魯肅				招募中抽取獲得						
71	虞翻				招募中抽取獲得						
72	諸葛瑾				招募中抽取獲得						
73	潘璋				招募中抽取獲得						
74	劉備				招募中抽取獲得	商城中購買獲得					
75	關羽				招募中抽取獲得	商城中購買獲得					
76	張飛				招募中抽取獲得	商城中購買獲得					
77	馬超				招募中抽取獲得	商城中購買獲得					
78	趙雲				招募中抽取獲得	商城中購買獲得					
79	諸葛亮				招募中抽取獲得	商城中購買獲得					
80	孫尚香				招募中抽取獲得	商城中購買獲得					
81	姜維				招募中抽取獲得	商城中購買獲得					
82	諸葛果				招募中抽取獲得	商城中購買獲得					
83	龐統				招募中抽取獲得	商城中購買獲得					
84	黃忠				招募中抽取獲得	商城中購買獲得					
85	董卓				招募中抽取獲得	商城中購買獲得					
86	呂布				招募中抽取獲得	聖•郭嘉(現)	積分商城兌換獲得				
87	貂蟬				招募中抽取獲得	商城中購買獲得					
88	張角				招募中抽取獲得	聖•郭嘉(現)	積分商城兌換獲得				
89	蔡文姬				招募中抽取獲得	商城中購買獲得					
90	呂玲綺				招募中抽取獲得	商城中購買獲得					
91	華佗				招募中抽取獲得	商城中購買獲得					
92	祝融				招募中抽取獲得	商城中購買獲得					
93	曹操				招募中抽取獲得	商城中購買獲得					
94	司馬懿				招募中抽取獲得	商城中購買獲得					
95	甄姬				招募中抽取獲得	商城中購買獲得					
96	夏侯惇				招募中抽取獲得	商城中購買獲得					
97	張遼				招募中抽取獲得	商城中購買獲得					
98	司馬昭				招募中抽取獲得	商城中購買獲得					
99	鄧艾				招募中抽取獲得	商城中購買獲得					
100	張春華				招募中抽取獲得	商城中購買獲得					
101	夏侯淵				招募中抽取獲得	商城中購買獲得					
102	荀攸				招募中抽取獲得	商城中購買獲得					
103	荀彧				招募中抽取獲得	商城中購買獲得					
104	賈詡				招募中抽取獲得	商城中購買獲得					
105	孫權				招募中抽取獲得	商城中購買獲得					
106	孫策				招募中抽取獲得	商城中購買獲得					
107	甘寧				招募中抽取獲得	商城中購買獲得					
108	太史慈				招募中抽取獲得	商城中購買獲得					
109	周瑜				招募中抽取獲得	商城中購買獲得					
110	大喬				招募中抽取獲得	商城中購買獲得					
111	小喬				招募中抽取獲得	商城中購買獲得					
112	呂蒙				招募中抽取獲得	商城中購買獲得					
