小等级	大等级	主将id	主将阶级	主将等级	副将1id	副将1阶级	副将1等级	副将2id	副将2阶级	副将2等级	小兵1ID	小兵2ID	小兵3ID	小兵等级	空行
40	49	1	14	240	2	14	240	3	14	240	1102	2102	3102	5	
50	59	1	20	380	2	20	380	3	20	380	1102	2102	3102	15	
60	69	1	26	520	2	26	520	3	26	520	1103	2103	3103	1	
70	79	1	32	680	2	32	680	3	32	680	1103	2103	3103	15	
80	89	1	32	850	2	32	850	3	32	850	1103	2103	3103	30	
90	99	1	32	920	2	32	920	3	32	920	1104	2104	3104	10	
100	109	1	32	1020	2	32	1020	3	32	1020	1104	2104	3104	30	
110	119	1	32	1120	2	32	1120	3	32	1120	1104	2104	3104	40	
120	129	1	32	1220	2	32	1220	3	32	1220	1105	2105	3105	20	
130	139	1	32	1320	2	32	1320	3	32	1320	1105	2105	3105	40	
