ID	姓名	武力	智力	统御	攻击速度	移动速度	攻击距离	攻击范围	资源ID	体积	技能特效	技能缩放比例	品质	阵营ID	武将类型	人物描述	阵型ID	阵型	缘分ID	分解获得基础铜钱数	头像	卡牌	卡牌1	卡牌2	卡牌3	卡牌4	卡牌5	卡牌6	卡牌7	卡牌8	卡牌9	卡牌10	剧情对话头像	声效	偏将加成	空行
1	虎賁校尉	43	23	23	1	95	140	300	dongzuo_plist	50	ziyun_plist		1	4	30001	八校尉之一，掌輕車，秩比二千石。	5	ArmyFormation/heyizhen.tmx		300	heroHead/50092.png	heroCard/40092.png												sound/skillRelasebefor/tongyongnan/tongyongnan4.mp3	0.1	
2	都尉	38	30	23	1	100	140	300	ganling_plist	50	ziyun_plist		1	4	30001	都尉，每郡有郡尉，秩比二千石，輔助太守主管軍事。從八品。	2	ArmyFormation/gouxingzhen.tmx		100	heroHead/50097.png	heroCard/40097.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
3	禁衛	33	24	21	1	100	140	300	xiahoudun_plist	50	ziyun_plist		1	1	30001	保衛帝王或京城的武將。	2	ArmyFormation/gouxingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png											Dialogue/bianfang.png	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
4	護衛	42	23	28	1	100	140	300	zhaoyun_plist	50	ziyun_plist		1	4	30001	保衛重要官員的武將。	6	ArmyFormation/zhuixingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png											Dialogue/huwei.png	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
5	兵曹	57	32	27	1	85	140	300	dongzuo_plist	50	ziyun_plist		1	1	30001	管兵事等的官員。	4	ArmyFormation/yuanxingzhen.tmx		5000	heroHead/50089.png	heroCard/40089.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
6	監軍	41	20	22	1	95	140	300	ganling_plist	50	ziyun_plist		1	1	30001	軍隊的監督者。	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50042.png	heroCard/40042.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
7	護軍	47	27	21	1	95	140	300	xiahoudun_plist	50	ziyun_plist		1	4	30001	高級軍事長官。	5	ArmyFormation/heyizhen.tmx		2000	heroHead/50042.png	heroCard/40042.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
8	督軍	34	25	29	1	100	140	300	zhaoyun_plist	50	ziyun_plist		1	1	30001	地方軍政長官。	6	ArmyFormation/zhuixingzhen.tmx		2000	heroHead/50042.png	heroCard/40042.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
9	朱雀使	20	28	36	1	85	400	300	huangyueyin_plist	50	mozhua_plist		1	2	30002	高級官員的女使者	5	ArmyFormation/heyizhen.tmx		5000	heroHead/50007.png	heroCard/40007.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
10	護軍教頭	45	26	23	1	120	140	300	dongzuo_plist	50	ziyun_plist		1	4	30001	初級軍隊訓練的教頭	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50091.png	heroCard/40091.png												sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11	妖姬	28	39	29	1	85	400	300	huangyueyin_plist	50	mozhua_plist		1	2	30002	略懂法術的女武將	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50053.png	heroCard/40053.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
12	縣丞	22	30	28	1	85	400	300	zhouyu_plist	50	mozhua_plist		1	2	30002	縣令之佐官。	1	ArmyFormation/changshezhen.tmx		500	heroHead/50096.png	heroCard/40096.png											Dialogue/canmeng.png	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
13	軍師	23	43	26	1	95	400	300	liubei_plist	50	mozhua_plist		1	1	30002	職掌之一。有以主謀劃施詐者。	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50059.png	heroCard/40059.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
14	典軍校尉	36	31	39	1	100	140	300	ganling_plist	50	ziyun_plist		2	4	30001	八品官員。	6	ArmyFormation/zhuixingzhen.tmx		300	heroHead/50090.png	heroCard/40090.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
15	射聲校尉	35	31	35	1	95	140	300	xiahoudun_plist	50	ziyun_plist		2	4	30001	射聲校尉掌待詔射聲，秩比二千石。所屬有丞及司馬，領兵七百人。從八品。	5	ArmyFormation/heyizhen.tmx		100	heroHead/50093.png	heroCard/40093.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
16	龍威騎	43	41	34	1	100	140	300	zhaoyun_plist	50	ziyun_plist		2	4	30001	統領騎兵的高級武將	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50019.png	heroCard/40019.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
17	鐵娘子	50	36	21	1	100	140	300	shunshangxiang_plist	50	ziyun_plist		2	4	30001	功夫了得的女武將	2	ArmyFormation/gouxingzhen.tmx		5000	heroHead/50053.png	heroCard/40053.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
18	劍豪	56	41	20	1	95	140	300	dongzuo_plist	50	ziyun_plist		2	1	30001	劍術一流的武將	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50019.png	heroCard/40019.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
19	平兒	41	26	32	1	85	140	300	shunshangxiang_plist	50	ziyun_plist		2	4	30001	本身是個迷的身世的女武將	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50007.png	heroCard/40007.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
20	羅刹女	24	51	27	1	95	400	300	huangyueyin_plist	50	mozhua_plist		2	1	30002	傳言會點妖術的女武將	3	ArmyFormation/yanxingzhen.tmx		5000	heroHead/50007.png	heroCard/40007.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
21	領軍教頭	48	36	28	1	120	140	300	ganling_plist	50	ziyun_plist		2	4	30001	中級軍隊訓練的教頭	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50091.png	heroCard/40091.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
22	禁軍教頭	45	28	26	1	120	140	300	xiahoudun_plist	50	ziyun_plist		2	4	30001	高級軍隊訓練的教頭	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50091.png	heroCard/40091.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
23	金都尉	39	34	27	1	110	140	300	zhaoyun_plist	50	ziyun_plist		2	4	30001	九品官武將	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50097.png	heroCard/40097.png												sound/skillRelasebefor/tongyongnan/tongyongnan5.mp3	0.1	
24	中書丞	30	46	35	1	85	400	300	simayi_plist	50	mozhua_plist		2	4	30002	中央屬官八品。	1	ArmyFormation/changshezhen.tmx		300	heroHead/50059.png	heroCard/40059.png												sound/skillRelasebefor/tongyongnan/tongyongnan5.mp3	0.1	
25	縣尉	40	47	28	1	85	400	300	sunquan_plist	50	mozhua_plist		2	4	30002	縣尉位在縣令或縣長之下。主管治安。九品。	1	ArmyFormation/changshezhen.tmx		100	heroHead/50095.png	heroCard/40095.png												sound/skillRelasebefor/tongyongnan/tongyongnan4.mp3	0.1	
26	神術士	23	57	23	1	85	400	300	chaochao_plist	50	mozhua_plist		2	4	30002	法術較為高深的術士	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50059.png	heroCard/40059.png												sound/skillRelasebefor/tongyongnan/tongyongnan4.mp3	0.1	
27	鬼道士	34	38	30	1	100	400	300	zhouyu_plist	50	mozhua_plist		2	2	30002	會點旁門左道的道士	2	ArmyFormation/gouxingzhen.tmx		5000	heroHead/50095.png	heroCard/40095.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
28	聖道士	22	59	24	1	100	400	300	liubei_plist	50	mozhua_plist		2	2	30002	法術造詣較高的道士	2	ArmyFormation/gouxingzhen.tmx		5000	heroHead/50096.png	heroCard/40096.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
29	嬪妃	23	50	25	1	100	400	300	diaocan_plist	50	moyun_plist		2	2	30003	姿色較好君主的妾室。	2	ArmyFormation/gouxingzhen.tmx		5000	heroHead/50080.png	heroCard/40080.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
30	寵妾	31	51	26	1	85	400	300	diaocan_plist	50	moyun_plist		2	2	30003	深受皇帝寵倖的妾侍	4	ArmyFormation/yuanxingzhen.tmx		5000	heroHead/50080.png	heroCard/40080.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
31	醫師	30	54	28	1	85	400	300	zhouyu_plist	50	huangbao_plist		2	2	30004	醫術一般的武將	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50059.png	heroCard/40059.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
32	皇甫嵩	70	31	39	1	95	140	300	dongzuo_plist	50	ziyun_plist		3	4	30001	東漢名將之後，在軍旅中，他溫恤士卒，甚得眾情。他在陳倉同董卓一起大破黃軍賊，官拜左車騎將軍。	5	ArmyFormation/heyizhen.tmx	40040	2000	heroHead/50038.png	heroCard/40038.png											Dialogue/huangfusong.png	sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
33	劉璋	58	44	65	1	85	400	300	simayi_plist	50	mozhua_plist		3	4	30002	劉璋，曾是益州之主，後不忍生靈塗炭，百姓受苦，出城投降劉備，部下無不為之動容。	1	ArmyFormation/changshezhen.tmx	40041	500	heroHead/50039.png	heroCard/40039.png												sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
34	張繡	69	41	61	1	100	140	300	ganling_plist	50	ziyun_plist		3	4	30001	趙雲和張任的師兄弟，驃騎將軍張濟的從子。因曹操納其遺孀鄒夫人，故反曹操，斬殺曹操大將典韋，長子曹昂，後仍舊投降曹魏。	6	ArmyFormation/zhuixingzhen.tmx	40042	500	heroHead/50040.png	heroCard/40040.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
35	曹節	32	75	39	1	85	400	300	huangyueyin_plist	50	mozhua_plist		3	3	30002	漢獻帝皇后，愛民如子。漢獻帝被曹丕逼迫退位後，為追隨漢獻帝拼死相爭。後陪漢獻帝為山陽公夫人，致力於救治百姓，興辦教學。	4	ArmyFormation/yuanxingzhen.tmx	40054	5000	heroHead/50073.png	heroCard/40073.png												sound/skillRelasebefor/caojie/caojie.mp3	0.1	
