标识	条件	数量	ID1	类型1	数量1	ID2	类型2	数量2	ID3	类型3	数量3	ID4	类型4	数量4
401	4	3	37	4	1	47	4	10						
402	4	6	38	4	1	47	4	20						
403	4	9	38	4	1	47	4	30						
404	4	12	78	4	1	48	4	40						
405	4	15	78	4	1	48	4	50						
406	4	18	78	4	1	48	4	60						
407	4	21	78	4	1	48	4	70						
408	4	24	46	4	1	49	4	30						
601	6	10	79	4	1	-6	4	10000						
602	6	20	79	4	2	-6	4	20000						
603	6	30	79	4	3	-6	4	30000						
604	6	40	79	4	4	-6	4	50000						
605	6	50	79	4	5	-6	4	70000						
606	6	60	79	4	6	-6	4	90000						
607	6	70	79	4	7	-6	4	110000						
608	6	80	79	4	8	-6	4	130000						
701	7	1	79	4	1	-2	4	200						
801	8	1	-2	4	100	120	1	1						
802	8	3	-2	4	200	120	1	1						
803	8	6	-2	4	300	120	1	1						
804	8	10	-2	4	400	120	1	1						
805	8	20	-2	4	500	120	1	1						
806	8	50	-2	4	600	120	1	1						
1001	10	1	79	4	3	-2	4	200						
1101	11	1	-2	4	1000	-3	4	5000000						
1102	11	10	-2	4	300	-3	4	1000000						
1103	11	50	-2	4	100	-3	4	200000						
1104	11	100	-2	4	30	-3	4	100000						
1201	12	1	-2	4	100	82	4	1						
1202	12	10	-2	4	200	82	4	2						
1203	12	50	-2	4	300	83	4	1						
1204	12	100	-2	4	400	83	4	2						
1205	12	200	-2	4	500	84	4	1						
1206	12	500	-2	4	600	84	4	2						
1207	12	1000	-2	4	700	85	4	1						
1301	13	1	-2	4	100	83	4	1						
1302	13	5	-2	4	100	83	4	1						
1303	13	10	-2	4	100	83	4	1						
1304	13	20	-2	4	100	84	4	1						
1401	14	2	-2	4	200	84	4	1						
1402	14	6	-2	4	200	84	4	1						
1403	14	12	-2	4	200	84	4	1						
1404	14	20	-2	4	200	85	4	1						
1801	18	10000	79	4	1	-2	4	100						
1802	18	30000	79	4	2	-2	4	150						
1803	18	50000	79	4	3	-2	4	200						
1804	18	80000	79	4	4	-2	4	250						
1805	18	120000	79	4	5	-2	4	300						
1806	18	160000	79	4	6	-2	4	350						
1807	18	200000	79	4	7	-2	4	400						
1808	18	250000	79	4	8	-2	4	450						
1809	18	300000	79	4	9	-2	4	500						
1810	18	350000	79	4	10	-2	4	550						
1811	18	400000	79	4	11	-2	4	600						
1812	18	450000	79	4	12	-2	4	650						
1813	18	500000	79	4	13	-2	4	700						
1814	18	600000	79	4	14	-2	4	750						
1815	18	700000	79	4	15	-2	4	800						
1816	18	800000	79	4	16	-2	4	850						
1817	18	900000	79	4	17	-2	4	900						
1818	18	1000000	79	4	18	-2	4	950						
