标识	天数	条件	数量	ID1	类型1	数量1	ID2	类型2	数量2	ID3	类型3	数量3	ID4	类型4	数量4
101	1	1	10	37	4	1	-3	4	50000						
102	1	1	15	40	4	10	79	4	1						
103	1	1	20	38	4	1	79	4	1						
104	1	1	25	118	5	40	-5	4	1000						
105	1	2	4	37	4	1	-3	4	50000						
106	1	3	2	47	4	10	-3	4	100000						
107	1	4	7	30	4	1	4	4	10						
108	1	18	15000	4	4	10	44	4	10	-2	4	100			
201	2	2	8	38	4	1	-3	4	100000						
202	2	1	30	118	5	40	79	4	1						
203	2	17	10	-7	4	1000	51	4	5						
204	2	3	5	47	4	15	-3	4	100000						
205	2	18	20000	4	4	15	79	4	2	-2	4	100			
301	3	1	35	74	4	2	-6	4	30000						
302	3	3	15	78	4	1	-3	4	100000						
303	3	4	8	30	4	1	4	4	10						
304	3	17	11	-7	4	2000	51	4	10						
305	3	18	25000	4	4	20	44	4	20	-2	4	100			
401	4	15	3	-5	4	3000	74	4	10						
402	4	16	2	48	4	10									
403	4	11	50	38	4	3									
404	4	18	30000	4	4	25	44	4	25	-2	4	100			
501	5	6	10	51	4	5	-3	4	100000						
502	5	6	20	51	4	10	-3	4	200000						
503	5	4	9	30	4	1	4	4	10						
504	5	17	15	83	4	1	51	4	10						
505	5	18	35000	4	4	30	44	4	30	-2	4	100			
601	6	1	40	84	4	1	-3	4	300000						
602	6	2	15	-6	4	50000	74	4	10						
603	6	6	30	51	4	20	-3	4	300000						
604	6	18	40000	4	4	35	44	4	35	-2	4	100			
701	7	6	35	51	4	30	-3	4	500000						
702	7	11	30	4	4	40	44	4	40	-2	4	150			
703	7	18	45000	84	4	1	79	4	15						
