标识	天数	条件	数量	ID1	类型1	数量1	ID2	类型2	数量2	ID3	类型3	数量3	ID4	类型4	数量4
101	1	10	1	79	4	1	-3	4	100000						
102	1	11	5	-2	4	50	43	4	20						
103	1	5	10	38	4	1	73	4	3						
201	2	9	1	79	4	1	-3	4	150000						
202	2	3	3	-2	4	50	73	4	5						
203	2	7	1	-6	4	5000	44	4	10						
301	3	1	1	35	4	1	73	4	5						
302	3	4	1	-6	4	5000	30	4	1						
303	3	14	1	79	4	1	82	4	1						
401	4	15	1	-5	4	1000	38	4	1						
402	4	16	1	-2	4	100	-3	4	150000						
403	4	20	1	-6	4	5000	79	4	1						
501	5	12	10	-2	4	100	38	4	1						
502	5	17	5	79	4	1	-3	4	500000						
503	5	10	1	44	4	10	43	4	10						
601	6	6	1	43	4	10	-2	4	100						
602	6	2	1	38	4	1	51	4	5						
603	6	5	10	83	4	1	-3	4	150000						
701	7	18	1	-2	4	200	75	4	1						
702	7	19	1	38	4	1	-3	4	500000						
703	7	5	10	43	4	20	44	4	20						
