ID	品质	道具名称	使用脚本	使用标识	道具描述	icon图标ID	使用限制	每日使用次数	使用等级限制	关卡ID1	关卡ID2	关卡ID3	关卡ID4	描述1	类型	卖出价格	空行
1	0	低級經驗卡	1	1	增加君主經驗	property_1.png	0	0	0	0	0	0	0	聖•郭嘉(現)		100	
2	0	中級經驗卡	2	1	增加君主經驗	property_2.png	0	0	0	0	0	0	0	聖•郭嘉(現)		100	
3	0	高級經驗卡	3	1	增加君主經驗	property_3.png	0	0	0	0	0	0	0	聖•郭嘉(現)		100	
4	0	印符	0	0	刷新七星壇用	property_4.png	0	0	0	0	0	0	0	聖•郭嘉(現)		2000	
5	0	令	0	0	強制徵稅用	property_5.png	0	0	0	0	0	0	0				
6	0	環首冰刃	0	0	三國主流的環首刀，擊刺效果奇佳，戳過的西瓜冰涼可口。短刀兵升階刀盾兵專用。	property_6.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
7	0	冰蠶皮甲	0	0	夏天的時候，每個人都夢想有這麼一副皮甲，冰冰涼的，讓人舒服。短刀兵升階刀盾兵專用。	property_7.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
8	0	玄冰指環	0	0	用十三顆完美的玄冰水晶，經過專業鑄造師用四十九天打造出來的玄冰指環。短刀兵升階刀盾兵專用。	property_8.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
9	0	烈焰槍	0	0	鑌鐵打造，輕重剛好合適，單雙手都可運用自如的長槍。輕騎兵升階突騎兵專用。	property_9.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
10	0	赤皮甲胄	0	0	獠牙野豬，用其皮，塗抹赤火果的油曬近百天後，可以抵擋多種冷兵器刺擊。輕騎兵升階突騎兵專用。	property_10.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
11	0	狼牙獸環	0	0	騎兵戴著這個獸環，據說可以擁有狼王的力量和速度。輕騎兵升階突騎兵專用。	property_11.png	0	0	0	0	0	0	0	可在天梯積分商城購買	2	1000	
