id	类型	价格	名称	空列
4	4	20	印符	
6	4	100	环首冰刃	
7	4	100	冰蚕皮甲	
8	4	100	玄冰指环	
9	4	100	烈焰枪	
10	4	100	赤皮甲胄	
11	4	100	狼牙兽环	
12	4	100	柘木长弓	
13	4	100	狐裘袄	
14	4	100	碧纹头带	
15	4	100	青龙刀	
16	4	100	仁王盾	
17	4	100	金丝铁甲	
18	4	100	龙纹指环	
19	4	100	诸葛连弩	
20	4	100	燕羽青衫	
21	4	100	柳叶鞋	
22	4	100	青皮头饰	
23	4	100	双刃鬼斧	
24	4	100	乌金软甲	
25	4	100	西凉良驹	
26	4	100	虎牙兽环	
27	4	100	踏燕鞋	
28	4	100	青铜盾	
29	4	100	乌孙	
30	4	50	体力丹	
31	4	200	金宝箱	
32	4	200	银宝箱	
33	4	100	卡	
34	4	2000	改名卡	
35	4	200	小喇叭	
36	4	100	白宝箱	
37	4	100	蓝宝箱	
38	4	280	紫宝箱	
39	4	150	白银宝箱	
40	4	36	碎片宝箱	
41	4	100	神秘宝箱	
42	4	150	元宝宝箱	
43	4	10	扫荡令	
44	4	10	刷新令	
45	4	50	特殊白宝箱	
-5	4	0.1	武魂	
46	4	1800	橙宝箱	
47	4	30	一级强化石	
48	4	60	二级强化石	
49	4	120	三级强化石	
50	4	300	融合水晶	
51	4	100	洗练神石	
52	4	66240	貂蝉(幻)卡包	
53	4	66240	祝融(幻)卡包	
54	4	66240	小乔(幻)卡包	
55	4	66240	张飞(幻)卡包	
56	4	66240	孙尚香(幻)卡包	
57	4	66240	刘备(幻)卡包	
58	4	66240	诸葛亮(幻)卡包	
59	4	66240	吕玲绮(幻)卡包	
60	4	66240	夏侯惇(幻)卡包	
61	4	66240	甄姬(幻)卡包	
62	4	66240	蔡文姬(幻)卡包	
63	4	66240	周瑜(幻)卡包	
64	4	66240	张辽(幻)卡包	
65	4	66240	关羽(幻)卡包	
66	4	66240	曹操(幻)卡包	
67	4	66240	赵云(幻)卡包	
68	4	66240	吕布(幻)卡包	
69	4	66240	孙权(幻)卡包	
70	4	100	1级转化丹	
71	4	300	2级转化丹	
72	4	500	3级转化丹	
73	4	100	1级经验卡	
74	4	200	2级经验卡	
75	4	400	3级经验卡	
76	4	1000	4级经验卡	
77	4	2000	5级经验卡	
78	4	1880	红宝箱	
79	4	288	招募令	
-3	4	0.001	金币	
-6	4	0.4	魂晶	
114	5	36	貂蝉(幻)	
115	5	36	祝融(幻)	
116	5	36	小乔(幻)	
117	5	36	张飞(幻)	
118	5	36	孙尚香(幻)	
119	5	36	刘备(幻)	
120	5	60	诸葛亮(幻)	
121	5	36	吕玲绮(幻)	
122	5	36	夏侯惇(幻)	
123	5	100	甄姬(幻)	
124	5	36	蔡文姬(幻)	
125	5	100	周瑜(幻)	
126	5	36	张辽(幻)	
127	5	36	关羽(幻)	
128	5	36	曹操(幻)	
129	5	80	赵云(幻)	
130	5	150	吕布(幻)	
131	5	36	孙权(幻)	
132	5	36	陆逊(现)	
133	5	36	丁奉(现)	
134	5	100	郭嘉(现)	
135	5	36	曹仁(现)	
136	5	36	于吉(现)	
137	5	100	左慈(现)	
138	5	36	关银屏(现)	
139	5	36	黄月英(现)	
80	4	50	神碎片宝箱	
81	4	100	1阶魂器	
82	4	500	2阶魂器	
83	4	1000	3阶魂器	
84	4	1880	4阶魂器	
85	4	2880	5阶魂器	
86	4	28888	帝王宝箱	
