小关卡id	小关卡标题	小关卡对话	每日最多	前置完成关卡	等级限制	每次扣除体力	武魂	铜钱奖励	未过回复次数	奖励道具	士兵分布图	主将ID	主将等级	主将阶级	副将1ID	副将1等级	副将1阶级	副将2ID	副将2等级	副将2阶级	步兵1ID	步兵1等级	骑兵2ID	骑兵2等级	弓兵3ID	弓兵3等级	士兵数量等级	特殊增益比例	精英副本增益比例	未过返还体力	主角经验Exp	公会掉落	空行
1	第一關	1	99	0	1,999	5	20	100	1	1,1,1,100,1,29,4,1,50,1,43,4,1,35,1,14,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	01-01.tmx	90001	4	1	1	4	1		4	1	1101	1	2101	1	3101	1	1	0	0.3	5	200		
2	第二關	2	99	1,1	1,999	5	20	110	1	2,1,1,100,1,28,4,1,50,1,43,4,1,35,1,15,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	01-02.tmx	13	5	1	2	5	1		5	1	1101	1	2101	1	3101	1	1	0	0.3	5	260		
3	第三關	3	99	1,2	1,999	5	20	120	1	3,1,1,100,1,12,4,1,50,1,43,4,1,35,1,16,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	01-03.tmx	5	6	1	3	6	1		6	1	1101	1	2101	1	3101	1	1	0	0.3	5	280		
4	第四關	0	99	1,3	1,999	5	20	130	1	4,1,1,100,1,17,1,1,80,1,29,4,1,50,1,43,4,1,35,1,17,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	01-04.tmx	90001	7	1	4	7	1		7	1	1101	1	2101	1	3101	1	1	0	0.3	5	300		
5	第五關	5	99	1,4	1,999	5	20	140	1	5,1,1,100,1,18,1,1,80,1,28,4,1,50,1,43,4,1,35,1,18,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	01-05.tmx	90003	11	1	5	11	1		11	1	1101	1	2101	1	3101	1	1	0	0.3	5	500		
6	第六關	6	99	1,5	1,999	5	20	150	1	6,1,1,100,1,19,1,1,80,1,12,4,1,50,1,43,4,1,35,1,19,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	01-06.tmx	90004	19	1	6	19	1		19	1	1101	1	2101	1	3101	1	1	0	0.3	5	350		
7	第七關	7	99	1,6	1,999	5	20	160	1	7,1,1,100,1,20,1,1,80,1,29,4,1,50,1,43,4,1,35,1,20,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	01-07.tmx	6	26	1	7	26	1		26	1	1101	1	2101	1	3101	1	1	0	0.3	5	360		
8	第八關	0	99	1,7	1,999	5	20	170	1	8,1,1,100,1,21,1,1,80,1,28,4,1,50,1,43,4,1,35,1,21,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	01-08.tmx	6	41	1	8	41	1		41	1	1101	1	2101	1	3101	1	1	0	0.3	5	380		
9	第九關	8	99	1,8	1,999	5	20	180	1	9,1,1,100,1,22,1,1,80,1,12,4,1,50,1,43,4,1,35,1,22,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	01-09.tmx	90005	30	1	9	30	1		30	1	1101	1	2101	1	3101	1	1	0	0.3	5	400		
10	第十關	9,10	99	1,9	1,999	5	20	190	1	10,1,1,100,1,23,1,1,80,1,29,4,1,50,1,43,4,1,35,1,23,1,1,100,2,118,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	01-10.tmx	90006	20	2	10	20	2	11	20	2	1101	1	2101	1	3101	1	1	0	0.3	5	600		
11	第一關	11	99	1,10	1,999	5	23	200	1	11,1,1,100,1,24,1,1,80,1,28,4,1,50,1,43,4,1,35,1,24,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	02-01.tmx	8	44	2	11	44	2	12	44	2	1101	1	2101	1	3101	1	1	0	0.3	5	410		
12	第二關	0	99	2,1	1,999	5	23	210	1	12,1,1,100,1,25,1,1,80,1,12,4,1,50,1,43,4,1,35,1,25,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	02-02.tmx	11	44	2	12	44	2	13	44	2	1101	1	2101	1	3101	1	1	0	0.3	5	420		
13	第三關	12	99	2,2	1,999	5	23	220	1	12,1,1,100,1,26,1,1,80,1,29,4,1,50,1,43,4,1,35,1,26,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	02-03.tmx	90008	36	2	13	36	2	1	36	2	1101	1	2101	1	3101	1	1	0	0.3	5	430		
14	第四關	0	99	2,3	1,999	5	23	230	1	1,1,1,100,1,27,1,1,80,1,28,4,1,50,1,43,4,1,35,1,27,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	02-04.tmx	5	37	2	1	37	2	2	37	2	1101	1	2101	1	3101	1	1	0	0.3	5	440		
15	第五關	14	99	2,4	1,999	5	23	240	1	2,1,1,100,1,28,1,1,80,1,12,4,1,50,1,43,4,1,35,1,28,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	02-05.tmx	90009	57	2	2	57	2	3	57	2	1101	1	2101	1	3101	1	1	0	0.3	5	500		
16	第六關	0	99	2,5	1,999	5	23	250	1	3,1,1,100,1,29,1,1,80,1,29,4,1,50,1,43,4,1,35,1,29,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	02-06.tmx	1	61	2	3	61	2	4	61	2	1101	2	2101	2	3101	2	1	0	0.3	5	460		
17	第七關	15	99	2,6	1,999	5	23	260	1	4,1,1,100,1,30,1,1,80,1,28,4,1,50,1,43,4,1,35,1,30,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	02-07.tmx	7	45	2	4	45	2	5	45	2	1101	2	2101	2	3101	2	1	0	0.3	5	485		
18	第八關	0	99	2,7	1,999	5	23	270	1	5,1,1,100,1,31,1,1,80,1,12,4,1,50,1,43,4,1,35,1,31,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	02-08.tmx	2	52	2	5	52	2	6	52	2	1101	2	2101	2	3101	2	1	0	0.3	5	500		
19	第九關	16	99	2,8	1,999	5	23	280	1	6,1,1,100,1,14,1,1,80,1,29,4,1,50,1,43,4,1,35,1,14,1,1,100,2,114,5,1,25,2,36,4,1,8,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	02-09.tmx	90010	61	2	6	61	2	7	61	2	1101	2	2101	2	3101	2	1	0	0.3	5	520		
