姓	名
劉	玄德
諸葛	孔明
曹	孟德
孫	仲謀
關	雲長
張	翼德
趙	子龍
樂	文謙
李	曼成
夏	子孝
荀	子廉
郭	元讓
程	妙才
夏侯	文若
簡	公達
糜	奉孝
滿	仲德
呂	憲和
毛	子仲
于	伯甯
馬	子恪
黃	孝先
韓	文則
祖	孟起
朱	文台
周	伯符
太史	德謀
蔣	公覆
陳	義公
虞	大榮
董	君理
許	子衡
徐	公瑾
臧	子布
魯	子綱
顧	子義
賈	公奕
司馬	幼平
文	子烈
魏	仲翔
龐	元代
嚴	仲康
陸	公明
駱	公仁
吾	文遠
潘	宣高
丁	文達
步	元龍
甘	子敬
淩	子瑜
廖	元歎
薛	雋乂
王	子遠
崔	文和
阚	仲達
伊	仲業
楊	文長
法	元直
孟	漢升
彭	士元
費	曼才
傅	公紀
霍	惠恕
秦	公緒
谯	孔休
管	文向
耿	文珪
左	承淵
吉	子山
	興霸
	子明
	伯言
	公績
	季常
	幼常
	公琰
	公嗣
	元儉
	敬文
	德樞
	休穆
	子翼
	仲宣
	孔璋
	季珪
	德潤
	孝起
	機伯
	令明
	永年
	德祖
	長文
	孝直
	子慶
	安國
	文烈
	叔弼
	季佐
	早安
	公禮
	幼台
	公衡
	子初
	永言
	子均
	文偉
	公悌
	元穎
	德容
	正方
	仲邈
	幼宰
	德昂
	子敕
	允南
	彥才
	子桓
	子建
	子文
	公明
	季行
	無放
	文然
	思然
	備
	亮
	操
	權
	羽
	飛
	雲
	進
	典
	仁
	洪
	惇
	淵
	彧
	攸
	嘉
	昱
	雍
	竺
	寵
	虔
	玠
	禁
	超
	堅
	策
	普
	蓋
	當
	茂
	治
	範
	瑜
	昭
	纮
	慈
	欽
	泰
	武
	翻
	襲
	褚
	晃
	昭
	遼
	霸
	通
	登
	肅
	瑾
	雍
	郃
	攸
	诩
	懿
	聘
	延
	庶
	忠
	統
	畯
	績
	溫
	統
	粲
	盛
	璋
	奉
	骘
	甯
	蒙
	遜
	統
	良
	谡
	琬
	禅
	化
	綜
	秉
	桓
	幹
	粲
	琳
	琰
	澤
	震
	籍
	德
	松
	修
	群
	正
	達
	興
	休
	翊
	匡
	朗
	韶
	靜
	權
	巴
	羕
	平
	祎
	巽
	馥
	既
	嚴
	峻
	和
	恢
	宓
	周
	幹
	丕
	植
	彰
	恪
	紀
	慈
	邈
	穆
