ID	缘分武将1ID	缘分名字	缘分效果	缘分武将2ID	缘分名字	缘分效果	缘分1效率类型	缘分1效果值	缘分2效率类型	缘分2效果值	空行
40001	96	火燒新野	夏侯惇做偏將時，生命加26%	86	龍爭虎膽	呂布做偏將時，攻擊加31%	1	0.26	2	0.31	
40002	93	七星滅董	曹操做偏將時，攻擊加28%	51	分庭抗禮	袁紹做偏將時，生命加25%	2	0.28	1	0.25	
40003	75	戰神武聖	關羽做偏將時，攻擊加38%	97	手下舊臣	張遼做偏將時，生命加35%	2	0.38	1	0.35	
40004	93	殺夫之仇	曹操做偏將時，法術加25%	110	閉月羞花	大喬做偏將時，生命加28%	3	0.25	1	0.28	
40005	75	荊州大敵	關羽做偏將時，生命加22%	112	東吳二虎	呂蒙做偏將時，攻擊加25%	1	0.22	2	0.25	
40006	111	國色天香	小喬做偏將時，生命加23%	79	天命難違	諸葛亮做偏將時，法術加30%	1	0.23	3	0.3	
40007	113	乘龍快婿	孫堅做偏將時，攻擊加20%	93	青梅煮酒	曹操做偏將時，生命加30%	2	0.2	1	0.3	
40008	97	心心相惜	張遼做偏將時，攻擊加28%	91	刮骨療傷	華佗做偏將時，生命加28%	2	0.28	1	0.28	
40009	86	龍爭虎膽	呂布做偏將時，攻擊加31%	77	挑燈夜戰	馬超做偏將時，生命加25%	2	0.31	1	0.25	
40010	93	父兄之仇	曹操做偏將時，攻擊加22%	76	挑燈夜戰	張飛做偏將時，生命加26%	2	0.22	1	0.26	
40011	83	臥龍鳳雛	龐統做偏將時，生命加27%	109	各為其主	周瑜做偏將時，法術加30%	1	0.27	3	0.3	
40012	79	木馬流情	諸葛亮做偏將時，法術加15%	82	仙果下凡	諸葛果做偏將時，生命15%	3	0.15	1	0.15	
40013	105	香香郡主	孫權做偏將時，法術加28%	106	長兄為父	孫策做偏將時，生命加28%	3	0.28	1	0.28	
40014	75	青龍傳承	關羽做偏將時，攻擊加23%	47	關家子弟	關索做偏將時，生命加15%	2	0.23	1	0.15	
40015	108	繼承遺志	太史慈做偏將時，法術加23%	99	偷渡陰平	鄧艾做偏將時，生命加21%	3	0.23	1	0.21	
40016	81	有勇有謀	薑維做偏將時，攻擊加19%	83	奇襲西川	龐統做偏將時，生命加15%	2	0.19	1	0.21	
40017	44	義兄在上	關興做偏將時，生命加15%	76	將門虎子	張飛做偏將時，攻擊加22%	1	0.15	2	0.22	
40018	74	雄才偉略	劉備做偏將時，生命加18%	101	計斬夏侯	夏侯淵做偏將時，法術加17%	1	0.18	3	0.17	
40019	79	長女成仙	諸葛亮做偏將時，法術加28%	72	諸葛世家	諸葛瑾做偏將時，生命加19%	3	0.28	1	0.19	
40020	93	鐵索連環	曹操做偏將時，生命加19%	79	臥龍鳳雛	諸葛亮做偏將時，法術加28%	1	0.19	3	0.28	
40021	49	廉頗之風	嚴顏做偏將時，生命加21%	77	五虎上將	馬超做偏將時，攻擊加25%	1	0.21	2	0.25	
40022	40	大哥風範	關平做偏將時，生命加15%	47	兄弟斷金	關索做偏將時，攻擊加15%	1	0.15	2	0.15	
40023	47	連理鴛鴦	關索做偏將時，法術加15%	50	鎮守南中	孟獲做偏將時，攻擊加18%	3	0.15	2	0.18	
40024	75	武聖侍衛	關羽做偏將時，攻擊加21%	40	親入兄弟	關平做偏將時，生命加15%	2	0.21	1	0.15	
