品质	ID	概率	姓名	空行
3	32	0	皇甫嵩	
3	33	0	刘璋	
3	34	0	张绣	
3	35	0	曹节	
3	36	0	程普	
3	37	0	孙鲁班	
3	38	0	朱然	
3	39	0	凌操	
4	40	4	关平	
4	41	2	魏延	
4	42	4	张苞	
4	43	1	法正	
4	44	5	关兴	
4	45	5	鲍三娘	
4	46	2	周仓	
4	47	4	关索	
4	48	4	夏侯霸	
4	49	4	严颜	
4	50	5	孟获	
4	51	5	袁绍	
4	52	2	华雄	
4	53	2	颜良	
4	54	2	文丑	
4	55	2	陈宫	
4	56	5	公孙瓒	
4	57	2	高顺	
4	58	2	李儒	
4	59	5	张任	
4	60	1	典韦	
4	61	1	许褚	
4	62	5	曹彰	
4	63	1	庞德	
4	64	2	张郃	
4	65	2	徐晃	
4	66	2	于禁	
4	67	3	周泰	
4	68	3	凌统	
4	69	2	黄盖	
4	70	2	鲁肃	
4	71	2	虞翻	
4	72	2	诸葛瑾	
4	73	5	潘璋	
5	74	3	刘备	
5	76	3	张飞	
5	77	2	马超	
5	80	4	孙尚香	
5	81	3	姜维	
5	82	3	诸葛果	
5	83	2	庞统	
5	85	4	董卓	
5	87	3	貂蝉	
5	89	3	蔡文姬	
5	90	1	吕玲绮	
5	91	2	华佗	
5	92	3	祝融	
5	93	3	曹操	
5	95	3	甄姬	
5	96	3	夏侯惇	
5	98	3	司马昭	
5	99	3	邓艾	
5	100	4	张春华	
5	101	4	夏侯渊	
5	102	4	荀攸	
5	103	4	荀彧	
5	105	4	孙权	
5	107	2	甘宁	
5	108	2	太史慈	
5	110	4	大乔	
5	111	4	小乔	
5	112	2	吕蒙	
5	113	4	孙坚	
5	75	1	关羽	
5	78	1	赵云	
5	79	1	诸葛亮	
5	84	1	黄忠	
5	86	1	吕布	
5	88	1	张角	
5	94	1	司马懿	
5	97	1	张辽	
5	104	1	贾诩	
5	106	1	孙策	
5	109	1	周瑜	
6	126	25	张辽(幻)	
6	128	25	曹操(幻)	
6	123	25	甄姬(幻)	
6	122	25	夏侯惇(幻)	
