ID	类型	数量	概率	货币类型	价格	名字
74	1	1	200	3	15000	刘备
75	1	1	200	3	15000	关羽
76	1	1	200	3	15000	张飞
77	1	1	200	3	15000	马超
78	1	1	200	3	15000	赵云
79	1	1	200	3	15000	诸葛亮
80	1	1	200	3	15000	孙尚香
81	1	1	200	3	15000	姜维
82	1	1	200	3	15000	诸葛果
83	1	1	200	3	15000	庞统
84	1	1	200	3	15000	黄忠
85	1	1	200	3	15000	董卓
87	1	1	200	3	15000	貂蝉
89	1	1	200	3	15000	蔡文姬
90	1	1	200	3	15000	吕玲绮
91	1	1	200	3	15000	华佗
92	1	1	200	3	15000	祝融
93	1	1	200	3	15000	曹操
94	1	1	200	3	15000	司马懿
95	1	1	200	3	15000	甄姬
96	1	1	200	3	15000	夏侯惇
97	1	1	200	3	15000	张辽
98	1	1	200	3	15000	司马昭
99	1	1	200	3	15000	邓艾
100	1	1	200	3	15000	张春华
101	1	1	200	3	15000	夏侯渊
102	1	1	200	3	15000	荀攸
103	1	1	200	3	15000	荀彧
104	1	1	200	3	15000	贾诩
105	1	1	200	3	15000	孙权
106	1	1	200	3	15000	孙策
107	1	1	200	3	15000	甘宁
108	1	1	200	3	15000	太史慈
109	1	1	200	3	15000	周瑜
110	1	1	200	3	15000	大乔
111	1	1	200	3	15000	小乔
112	1	1	200	3	15000	吕蒙
113	1	1	200	3	15000	孙坚
-5	4	500	100	3	2000	武魂
-5	4	2500	50	3	5000	武魂
-5	4	5000	20	3	10000	武魂
-5	4	25000	10	3	50000	武魂
34	4	1	100	1	1888	改名卡
35	4	1	100	1	100	小喇叭
43	4	5	300	2	25000	扫荡令
43	4	10	150	2	50000	扫荡令
43	4	20	50	2	100000	扫荡令
4	4	6	300	1	100	印符
4	4	12	200	1	200	印符
70	4	1	500	1	100	1级经验转化丹
71	4	1	500	1	300	2级经验转化丹
72	4	1	500	1	500	3级经验转化丹
114	1	1	300	3	72000	貂蝉(幻)
115	1	1	300	3	72000	祝融(幻)
116	1	1	300	3	72000	小乔(幻)
118	1	1	300	3	72000	孙尚香(幻)
119	1	1	300	3	72000	刘备(幻)
132	1	1	300	3	72000	陆逊(现)
122	1	1	300	3	72000	夏侯惇(幻)
124	1	1	300	3	72000	蔡文姬(幻)
126	1	1	300	3	72000	张辽(幻)
127	1	1	300	3	72000	关羽(幻)
128	1	1	300	3	72000	曹操(幻)
131	1	1	300	3	72000	孙权(幻)
133	1	1	300	3	72000	丁奉(现)
139	1	1	300	3	72000	黄月英(现)
135	1	1	300	3	72000	曹仁(现)
136	1	1	300	3	72000	于吉(现)
138	1	1	300	3	72000	关银屏(现)
117	1	1	300	3	72000	张飞
114	5	5	150	3	4500	貂蝉(幻)
115	5	5	150	3	4500	祝融(幻)
116	5	5	150	3	4500	小乔(幻)
118	5	5	150	3	4500	孙尚香(幻)
119	5	5	150	3	4500	刘备(幻)
132	5	5	150	3	4500	陆逊(现)
122	5	5	150	3	4500	夏侯惇(幻)
124	5	5	150	3	4500	蔡文姬(幻)
126	5	5	150	3	4500	张辽(幻)
127	5	5	150	3	4500	关羽(幻)
128	5	5	150	3	4500	曹操(幻)
131	5	5	150	3	4500	孙权(幻)
133	5	5	150	3	4500	丁奉(现)
139	5	5	150	3	4500	黄月英(现)
135	5	5	150	3	4500	曹仁(现)
136	5	5	150	3	4500	于吉(现)
138	5	5	150	3	4500	关银屏(现)
117	5	5	150	3	4500	张飞（幻）
121	1	1	150	3	72000	吕玲绮(幻)
121	5	5	300	3	4500	吕玲绮(幻)
