ID	类型	数量	价格	需要等级	标识<唯一判断物品唯一性的识别符，添加新物品必须使用新的标识>	名字	空行
-5	4	500	100	1	1	武魂	
120	5	5	500	2	2	诸葛亮	
38	4	1	2888	3	3	紫色宝箱	
-5	4	1000	200	3	4	武魂	
72	4	1	998	4	5	三级转换丹	
120	5	5	500	4	6	诸葛亮	
16	4	2	200	5	7	仁王盾	
19	4	2	200	5	8	诸葛连弩	
25	4	2	200	5	9	西凉良驹	
120	5	5	500	6	10	诸葛亮	
-5	4	5000	1000	6	11	武魂	
79	4	1	800	6	12	招募令	
47	4	10	1000	6	13	1级强化石	
16	4	3	400	7	14	仁王盾	
19	4	3	400	7	15	诸葛连弩	
25	4	3	400	7	16	西凉良驹	
78	4	1	11888	8	17	红宝箱	
120	5	5	500	8	18	诸葛亮	
51	4	10	500	9	19	洗练石	
-5	4	10000	2000	9	20	武魂	
48	4	10	2000	9	21	2级强化石	
49	4	10	5000	10	22	3级强化石	
78	4	1	11888	10	23	红宝箱	
