ID	类型	数量	概率	货币类型	价格	名字
74	1	1	200	3	13500	刘备
75	1	1	200	3	13500	关羽
76	1	1	200	3	13500	张飞
77	1	1	200	3	13500	马超
78	1	1	200	3	13500	赵云
79	1	1	200	3	13500	诸葛亮
80	1	1	200	3	13500	孙尚香
81	1	1	200	3	13500	姜维
82	1	1	200	3	13500	诸葛果
83	1	1	200	3	13500	庞统
84	1	1	200	3	13500	黄忠
85	1	1	200	3	13500	董卓
87	1	1	200	3	13500	貂蝉
89	1	1	200	3	13500	蔡文姬
90	1	1	200	3	13500	吕玲绮
91	1	1	200	3	13500	华佗
92	1	1	200	3	13500	祝融
93	1	1	200	3	13500	曹操
94	1	1	200	3	13500	司马懿
95	1	1	200	3	13500	甄姬
96	1	1	200	3	13500	夏侯惇
97	1	1	200	3	13500	张辽
98	1	1	200	3	13500	司马昭
99	1	1	200	3	13500	邓艾
100	1	1	200	3	13500	张春华
101	1	1	200	3	13500	夏侯渊
102	1	1	200	3	13500	荀攸
103	1	1	200	3	13500	荀彧
104	1	1	200	3	13500	贾诩
105	1	1	200	3	13500	孙权
106	1	1	200	3	13500	孙策
107	1	1	200	3	13500	甘宁
108	1	1	200	3	13500	太史慈
109	1	1	200	3	13500	周瑜
110	1	1	200	3	13500	大乔
111	1	1	200	3	13500	小乔
112	1	1	200	3	13500	吕蒙
113	1	1	200	3	13500	孙坚
-5	4	500	100	3	1800	武魂
-5	4	2500	50	3	4500	武魂
-5	4	5000	20	3	9000	武魂
-5	4	25000	10	3	45000	武魂
34	4	1	100	1	1800	改名卡
35	4	1	100	1	90	小喇叭
43	4	5	300	2	22500	扫荡令
43	4	10	150	2	45000	扫荡令
43	4	20	50	2	90000	扫荡令
4	4	6	300	1	90	印符
4	4	12	200	1	180	印符
70	4	1	500	1	90	1级经验转化丹
71	4	1	500	1	270	2级经验转化丹
72	4	1	500	1	450	3级经验转化丹
114	1	1	300	3	64800	貂蝉(幻)
115	1	1	300	3	64800	祝融(幻)
116	1	1	300	3	64800	小乔(幻)
118	1	1	300	3	64800	孙尚香(幻)
119	1	1	300	3	64800	刘备(幻)
132	1	1	300	3	64800	陆逊(现)
122	1	1	300	3	64800	夏侯惇(幻)
124	1	1	300	3	64800	蔡文姬(幻)
126	1	1	300	3	64800	张辽(幻)
127	1	1	300	3	64800	关羽(幻)
128	1	1	300	3	64800	曹操(幻)
131	1	1	300	3	64800	孙权(幻)
133	1	1	300	3	64800	丁奉(现)
139	1	1	300	3	64800	黄月英(现)
135	1	1	300	3	64800	曹仁(现)
136	1	1	300	3	64800	于吉(现)
138	1	1	300	3	64800	关银屏(现)
117	1	1	300	3	64800	张飞
114	5	5	150	3	4050	貂蝉(幻)
115	5	5	150	3	4050	祝融(幻)
116	5	5	150	3	4050	小乔(幻)
118	5	5	150	3	4050	孙尚香(幻)
119	5	5	150	3	4050	刘备(幻)
132	5	5	150	3	4050	陆逊(现)
122	5	5	150	3	4050	夏侯惇(幻)
124	5	5	150	3	4050	蔡文姬(幻)
126	5	5	150	3	4050	张辽(幻)
127	5	5	150	3	4050	关羽(幻)
128	5	5	150	3	4050	曹操(幻)
131	5	5	150	3	4050	孙权(幻)
133	5	5	150	3	4050	丁奉(现)
139	5	5	150	3	4050	黄月英(现)
135	5	5	150	3	4050	曹仁(现)
136	5	5	150	3	4050	于吉(现)
138	5	5	150	3	4050	关银屏(现)
117	5	5	150	3	4050	张飞（幻）
48	4	10	300	1	500	2级强化石
48	4	20	300	1	1000	2级强化石
48	4	50	300	1	2500	2级强化石
78	4	1	300	1	1000	红宝箱
78	4	3	300	1	3000	红宝箱
78	4	5	300	1	5000	红宝箱
78	4	10	300	1	10000	红宝箱
130	1	1	500	3	120000	吕布（幻）
130	5	5	1000	3	7500	吕布（幻）
121	1	1	600	3	64800	吕玲绮(幻)
121	5	5	1000	3	4050	吕玲绮(幻)
125	1	1	600	3	98000	周瑜(幻)
125	5	5	1000	3	6125	周瑜(幻)
