ID	名称	类型	初始攻击	初始生命	初始法术	初始法防	攻击成长	生命成长	法术成长	法防成长	攻击间隔(s)	移速	攻击距离	技能ID	视野范围	体积	优先兵种	选取规则	寻路规则	兵种克制	克制描述	克制数值	铜钱（制造）	武魂（制造）	资源ID	阶数	升阶指向ID	升阶道具1	升阶道具1消耗数	升阶道具2	升阶道具2消耗数	升阶道具3	升阶道具3消耗数	升阶道具4	升阶道具4消耗数	模型id	头像	卡片	空行
1101	短刀兵	1	58	1152	38	18	10	320	5	50	1.3	100	100	0	500	70	3	1	1	4	弓加成20%	0.2	0	0	Infantry1_plist	1	1102	6	20	7	20	8	20	28	20	1	avatar_infantry1.png	infantry1.png	
1102	刀盾兵	1	158	4352	88	518	20	640	10	100	1.3	105	100	0	500	70	3	1	1	4	弓加成30%	0.3	0	0	Infantry2A_plist	2	1103	15	20	16	20	17	20	18	20	1	avatar_infantry2.png	infantry2.png	
1103	白眊兵	1	558	17152	288	2518	30	960	15	150	1.3	110	100	0	500	70	3	1	1	4	弓加成50%	0.5	0	0	Infantry2B_plist	3	1104	15	30	16	30	17	30	18	30	1	avatar_infantry3.png	infantry3.png	
1104	藍盾兵	1	1458	45952	738	7018	40	1280	20	200	1.3	110	100	0	500	70	3	1	1	4	弓加成70%	0.7	0	0	Infantry4_plist	4	1105	15	40	16	40	17	40	18	40	1	avatar_infantry4.png	infantry4.png	
1105	皇盾兵	1	3058	97152	1538	15018	50	1600	25	250	1.3	110	100	0	500	70	3	1	1	4	弓加成100%	1	0	0	Infantry5_plist	5	0	0	0	0	0	0	0	0	0	1	avatar_infantry5.png	infantry5.png	
2101	輕騎兵	2	86	768	38	16	40	264	20	15	1.2	160	100	0	500	70	1	1	1	2	步加成20%	0.2	0	0	Cavalry1_plist	1	2102	9	20	10	20	11	20	29	20	1	avatar_cavalry1.png	cavalry1.png	
2102	突騎兵	2	486	3408	238	166	80	528	40	30	1.2	165	100	0	500	70	1	1	1	2	步加成30%	0.3	0	0	Cavalry2A_plist	2	2103	23	20	24	20	25	20	26	20	1	avatar_cavalry2.png	cavalry2.png	
2103	虎豹騎	2	2086	13968	1038	766	120	792	60	45	1.2	170	100	0	500	70	1	1	1	2	步加成50%	0.5	0	0	Cavalry2B_plist	3	2104	23	30	24	30	25	30	26	30	1	avatar_cavalry3.png	cavalry3.png	
2104	藍騎兵	2	5686	37728	2838	2116	160	1056	80	60	1.2	170	100	0	500	70	1	1	1	2	步加成70%	0.7	0	0	Cavalry4_plist	4	2105	23	40	24	40	25	40	26	40	1	avatar_cavalry4.png	cavalry4.png	
2105	皇騎兵	2	12086	79968	6038	4516	200	1320	100	75	1.2	170	100	0	500	70	1	1	1	2	步加成100%	1	0	0	Cavalry5_plist	5	0	0	0	0	0	0	0	0	0	1	avatar_cavalry5.png	cavalry5.png	
3101	短弓兵	3	86	576	114	18	5	133	55	30	1.3	65	500	0	600	70	2	1	1	3	骑加成20%	0.2	0	0	Archer1_plist	1	3102	12	20	13	20	14	20	27	20	1	avatar_archer1.png	archer1.png	
3102	長弓兵	3	136	1906	664	318	10	266	110	60	1.3	70	500	0	600	70	2	1	1	3	骑加成30%	0.3	0	0	Archer2A_plist	2	3103	19	20	20	20	21	20	22	20	1	avatar_archer2.png	archer2.png	
3103	元戎弩	3	336	7226	2864	1518	15	399	165	90	1.3	75	500	0	600	70	2	1	1	3	骑加成50%	0.5	0	0	Archer2B_plist	3	3104	19	30	20	30	21	30	22	30	1	avatar_archer3.png	archer3.png	
3104	藍弓兵	3	786	19196	7814	4218	20	532	220	120	1.3	75	500	0	600	70	2	1	1	3	骑加成70%	0.7	0	0	Archer4_plist	4	3105	19	40	20	40	21	40	22	40	1	avatar_archer4.png	archer4.png	
3105	皇弓兵	3	1586	40476	16614	9018	25	665	275	150	1.3	75	500	0	600	70	2	1	1	3	骑加成100%	1	0	0	Archer5_plist	5	0	0	0	0	0	0	0	0	0	1	avatar_archer5.png	archer5.png	
