ID	名字	类型	品质	属性类型	属性值	随机属性概率1	随机属性概率2	随机属性概率3	随机属性概率4	随机属性概率5	随机属性概率6	随机属性概率7	随机属性概率8	空行
37	精•双股剑	1	40	1	194	0.3	0.4	0.2	0.1	0	0	0	0	
43	精•龙鳞刀	1	40	1	314	0.3	0.4	0.2	0.1	0	0	0	0	
49	精•黄金戟	1	40	1	248	0.3	0.4	0.2	0.1	0	0	0	0	
109	精•银麟铠甲	2	40	2	2714	0.3	0.4	0.2	0.1	0	0	0	0	
115	精•龙鳞头盔	3	40	3	208	0.3	0.4	0.2	0.1	0	0	0	0	
121	精•沧月项链	4	40	4	320	0.3	0.4	0.2	0.1	0	0	0	0	
38	精•双股剑+1	1	41	1	218	0.3	0.4	0.2	0.1	0	0	0	0	
44	精•龙鳞刀+1	1	41	1	356	0.3	0.4	0.2	0.1	0	0	0	0	
50	精•黄金戟+1	1	41	1	280	0.3	0.4	0.2	0.1	0	0	0	0	
110	精•银麟铠甲+1	2	41	2	3066	0.3	0.4	0.2	0.1	0	0	0	0	
116	精•龙鳞头盔+1	3	41	3	236	0.3	0.4	0.2	0.1	0	0	0	0	
122	精•沧月项链+1	4	41	4	362	0.3	0.4	0.2	0.1	0	0	0	0	
39	精•双股剑+2	1	42	1	248	0.3	0.4	0.2	0.1	0	0	0	0	
45	精•龙鳞刀+2	1	42	1	402	0.3	0.4	0.2	0.1	0	0	0	0	
51	精•黄金戟+2	1	42	1	316	0.3	0.4	0.2	0.1	0	0	0	0	
111	精•银麟铠甲+2	2	42	2	3464	0.3	0.4	0.2	0.1	0	0	0	0	
117	精•龙鳞头盔+2	3	42	3	266	0.3	0.4	0.2	0.1	0	0	0	0	
123	精•沧月项链+2	4	42	4	408	0.3	0.4	0.2	0.1	0	0	0	0	
40	精•双股剑+3	1	43	1	280	0.3	0.4	0.2	0.1	0	0	0	0	
46	精•龙鳞刀+3	1	43	1	454	0.3	0.4	0.2	0.1	0	0	0	0	
52	精•黄金戟+3	1	43	1	358	0.3	0.4	0.2	0.1	0	0	0	0	
112	精•银麟铠甲+3	2	43	2	3916	0.3	0.4	0.2	0.1	0	0	0	0	
118	精•龙鳞头盔+3	3	43	3	300	0.3	0.4	0.2	0.1	0	0	0	0	
124	精•沧月项链+3	4	43	4	462	0.3	0.4	0.2	0.1	0	0	0	0	
41	精•双股剑+4	1	44	1	316	0.3	0.4	0.2	0.1	0	0	0	0	
47	精•龙鳞刀+4	1	44	1	514	0.3	0.4	0.2	0.1	0	0	0	0	
53	精•黄金戟+4	1	44	1	404	0.3	0.4	0.2	0.1	0	0	0	0	
113	精•银麟铠甲+4	2	44	2	4424	0.3	0.4	0.2	0.1	0	0	0	0	
119	精•龙鳞头盔+4	3	44	3	340	0.3	0.4	0.2	0.1	0	0	0	0	
125	精•沧月项链+4	4	44	4	522	0.3	0.4	0.2	0.1	0	0	0	0	
