ID	技能名字	技能描述	CD时间	技能片特效	技能片缩放比例	技能范围	技能基准点	阵营选择	半径	角度	高度	宽度	身后距离	值条件(条件)	百分比条件(条件)	几率(条件)	值(条件)	百分比(条件)	延迟时间	间隔时间	总时间	效果选择	作用属性	效果状态	百分比	基础伤害	基础秒数	技能伤害类型	延时类型	效果描述	技能声效	参数1	参数2	参数3	参数4	空行
100040	龍鳴虎嘯	自身增加40%攻擊力與法術強度，持續5S	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.4		6	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
101040	鬼•龍鳴虎嘯	自身增加45%攻擊力與法術強度，持續5S	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.45		8	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
102040	聖•龍鳴虎嘯	自身增加50%攻擊力與法術強度，持續5S	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.5		10	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
103040	皇•龍鳴虎嘯	自身增加55%攻擊力與法術強度，持續5S	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.55		12	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
110040	龍鳴虎嘯	自身增加40%攻擊力與法術強度，持續5S	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.4		6	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
111040	鬼•龍鳴虎嘯	自身增加45%攻擊力與法術強度，持續5S	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.45		8	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
112040	聖•龍鳴虎嘯	自身增加50%攻擊力與法術強度，持續5S	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.5		10	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
113040	皇•龍鳴虎嘯	自身增加55%攻擊力與法術強度，持續5S	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.55		12	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
100041	懾魂一式	攻擊血量最低的敵方武將，造成200%攻擊傷害	12	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2		6	3			sound/skilleffect/dao/dao1.wav					
101041	鬼•懾魂一式	攻擊血量最低的敵方武將，造成220%攻擊傷害	12	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.2		8	3			sound/skilleffect/dao/dao1.wav					
102041	聖•懾魂一式	攻擊血量最低的敵方武將，造成240%攻擊傷害	12	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.4		8	3			sound/skilleffect/dao/dao1.wav					
103041	皇•懾魂一式	攻擊血量最低的敵方武將，造成260%攻擊傷害	12	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.6		10	3			sound/skilleffect/dao/dao1.wav					
100042	金蛇耀日	自身增加120%攻擊力，但損失自己當前生命的40%血量，持續時間與武力有關	12	gaoji_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	9	1	0	1.2		6	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
101042	鬼•金蛇耀日	自身增加130%攻擊力，但損失自己當前生命的40%血量，持續時間與武力有關	12	gaoji_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	9	1	0	1.3		8	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
102042	聖•金蛇耀日	自身增加140%攻擊力，但損失自己當前生命的40%血量，持續時間與武力有關	12	gaoji_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	9	1	0	1.4		10	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
103042	皇•金蛇耀日	自身增加150%攻擊力，但損失自己當前生命的40%血量，持續時間與武力有關	12	gaoji_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	9	1	0	1.5		12	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
110042	金蛇耀日	自身增加120%攻擊力，但損失自己當前生命的40%血量，持續時間與武力有關	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	-0.4		6	0		1	sound/skilleffect/zhenyi/zengyi.wav					
111042	鬼•金蛇耀日	自身增加130%攻擊力，但損失自己當前生命的40%血量，持續時間與武力有關	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	-0.4		8	0		1	sound/skilleffect/zhenyi/zengyi.wav					
112042	聖•金蛇耀日	自身增加140%攻擊力，但損失自己當前生命的40%血量，持續時間與武力有關	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	-0.4		10	0		1	sound/skilleffect/zhenyi/zengyi.wav					
113042	皇•金蛇耀日	自身增加150%攻擊力，但損失自己當前生命的40%血量，持續時間與武力有關	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	-0.4		12	0		1	sound/skilleffect/zhenyi/zengyi.wav					
300043	五彩水鏡	我方武力最高武將提升40%攻擊，持續時間與智力有關	12	huangguang_plist		12	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.4	0	7	0	3	1	sound/skilleffect/zhenyi/zengyi.wav					
301043	鬼•五彩水鏡	我方武力最高武將提升50%攻擊，持續時間與智力有關	12	huangguang_plist		12	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.5	0	9	0	3	1	sound/skilleffect/zhenyi/zengyi.wav					
302043	聖•五彩水鏡	我方武力最高武將提升60%攻擊，持續時間與智力有關	12	huangguang_plist		12	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.6	0	11	0	3	1	sound/skilleffect/zhenyi/zengyi.wav					
303043	皇•五彩水鏡	我方武力最高武將提升70%攻擊，持續時間與智力有關	12	huangguang_plist		12	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.7	0	13	0	3	1	sound/skilleffect/zhenyi/zengyi.wav					
100044	飲血烈刃	斬殺敵方武力最高的敵人，雙方武力差值越大傷害越高	12	Ani_Lightning		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		6	4			sound/skilleffect/dao/dao1.wav					
101044	鬼•飲血烈刃	斬殺敵方武力最高的敵人，雙方武力差值越大傷害越高	12	Ani_Lightning		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		8	4			sound/skilleffect/dao/dao1.wav					
102044	聖•飲血烈刃	斬殺敵方武力最高的敵人，雙方武力差值越大傷害越高	12	Ani_Lightning		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		8	4			sound/skilleffect/dao/dao1.wav					
103044	皇•飲血烈刃	斬殺敵方武力最高的敵人，雙方武力差值越大傷害越高	12	Ani_Lightning		19	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		10	4			sound/skilleffect/dao/dao1.wav					
200045	風卷雷鳴	自身前方扇形範圍內敵軍，受到100%雷擊傷害	12	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1	0	0	2			sound/skilleffect/lei/lei1.wav					
201045	鬼•鮑三娘	自身前方扇形範圍內敵軍，受到110%雷擊傷害	12	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1.1	0	0	2			sound/skilleffect/lei/lei1.wav					
202045	聖•風卷雷鳴	自身前方扇形範圍內敵軍，受到120%雷擊傷害	12	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1.2	0	0	2			sound/skilleffect/lei/lei1.wav					
203045	皇•風卷雷鳴	自身前方扇形範圍內敵軍，受到130%雷擊傷害	12	Ani_dian		2	1	2	500	100	0	0	50	0	0	1	0	0	1	0	0	6	0	0	1.3	0	0	2			sound/skilleffect/lei/lei1.wav					
100046	大回天	減少自身40%所受到的傷害，持續時間與武力有關	12	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.4		6	0	2		sound/skilleffect/dun/dunpai1.wav					
101046	鬼•大回天	減少自身45%所受到的傷害，持續時間與武力有關	12	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.45		8	0	2		sound/skilleffect/dun/dunpai1.wav					
102046	聖•大回天	減少自身50%所受到的傷害，持續時間與武力有關	12	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.5		10	0	2		sound/skilleffect/dun/dunpai1.wav					
103046	皇•大回天	減少自身55%所受到的傷害，持續時間與武力有關	12	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	6	0.55		12	0	2		sound/skilleffect/dun/dunpai1.wav					
100047	破風斬	對自己周圍敵人造成80%攻擊傷害	12	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0.8		0	3			sound/skilleffect/dao/dao1.wav					
101047	鬼•破風斬	對自己周圍敵人造成90%攻擊傷害	12	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0.9		0	3			sound/skilleffect/dao/dao1.wav					
102047	聖•破風斬	對自己周圍敵人造成100%攻擊傷害	12	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	1		0	3			sound/skilleffect/dao/dao1.wav					
103047	皇•破風斬	對自己周圍敵人造成110%攻擊傷害	12	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	1.1		0	3			sound/skilleffect/dao/dao1.wav					
100048	風雲變色	攻擊血量最高的敵方武將，造成260%基礎傷害	12	guangjian_plist		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2		6	1			sound/skilleffect/dao/dao1.wav					
101048	鬼•風雪冰天	攻擊血量最高的敵方武將，造成220%基礎傷害	12	guangjian_plist		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.2		8	1			sound/skilleffect/dao/dao1.wav					
102048	聖•風雲變色	攻擊血量最高的敵方武將，造成240%基礎傷害	12	guangjian_plist		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.4		8	1			sound/skilleffect/dao/dao1.wav					
103048	皇•風雲變色	攻擊血量最高的敵方武將，造成260%基礎傷害	12	guangjian_plist		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.6		10	1			sound/skilleffect/dao/dao1.wav					
100049	致命一擊	攻擊血量最低的敵將，造成自己當前血量35%傷害	12	Ani_phoenix		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	2	0	0.35		0	7			sound/skilleffect/dao/dao1.wav					
101049	鬼•致命一擊	攻擊血量最低的敵將，造成自己當前血量40%傷害	12	Ani_phoenix		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	2	0	0.4		0	7			sound/skilleffect/dao/dao1.wav					
102049	聖•致命一擊	攻擊血量最低的敵將，造成自己當前血量45%傷害	12	Ani_phoenix		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	2	0	0.45		0	7			sound/skilleffect/dao/dao1.wav					
103049	皇•致命一擊	攻擊血量最低的敵將，造成自己當前血量50%傷害	12	Ani_phoenix		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	2	0	0.5		0	7			sound/skilleffect/dao/dao1.wav					
100050	不屈意志	自身增加100%法術防禦，持續時間與武力有關	12	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	0	1		6	0	2	7	sound/skilleffect/zhenyi/zengyi.wav					
101050	鬼•不屈意志	自身增加110%法術防禦，持續時間與武力有關	12	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	0	1.1		8	0	2	7	sound/skilleffect/zhenyi/zengyi.wav					
102050	聖•不屈意志	自身增加120%法術防禦，持續時間與武力有關	12	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	0	1.2		10	0	2	7	sound/skilleffect/zhenyi/zengyi.wav					
103050	皇•不屈意志	自身增加130%法術防禦，持續時間與武力有關	12	Ani_purpleLight		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	5	0	1.3		12	0	2	7	sound/skilleffect/zhenyi/zengyi.wav					
100051	群魔亂舞	降低敵方群雄武將30%攻擊力，持續時間與武力有關	12	suijing_plist		39	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.3		0	0	2	2	sound/skilleffect/jianyi/jianyi.wav					
101051	鬼•群魔亂舞	降低敵方群雄武將35%攻擊力，持續時間與武力有關	12	suijing_plist		39	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.35		0	0	2	2	sound/skilleffect/jianyi/jianyi.wav					
102051	聖•群魔亂舞	降低敵方群雄武將40%攻擊力，持續時間與武力有關	12	suijing_plist		39	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.4		0	0	2	2	sound/skilleffect/jianyi/jianyi.wav					
103051	皇•群魔亂舞	降低敵方群雄武將45%攻擊力，持續時間與武力有關	12	suijing_plist		39	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0.45		0	0	2	2	sound/skilleffect/jianyi/jianyi.wav					
100052	霸刀噬魂	斬殺敵方血量最多的敵人，雙方武力差值越大傷害越高	12	Ani_Lightning		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		6	4			sound/skilleffect/dao/dao1.wav					
101052	鬼•霸刀噬魂	斬殺敵方血量最多的敵人，雙方武力差值越大傷害越高	12	Ani_Lightning		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		8	4			sound/skilleffect/dao/dao1.wav					
102052	聖•霸刀噬魂	斬殺敵方血量最多的敵人，雙方武力差值越大傷害越高	12	Ani_Lightning		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		8	4			sound/skilleffect/dao/dao1.wav					
103052	皇•霸刀噬魂	斬殺敵方血量最多的敵人，雙方武力差值越大傷害越高	12	Ani_Lightning		13	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0		10	4			sound/skilleffect/dao/dao1.wav					
100053	霸氣斬	對自己周圍敵人造成80%攻擊傷害	12	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0.8		0	3			sound/skilleffect/dao/dao1.wav					
101053	鬼•霸氣斬	對自己周圍敵人造成90%攻擊傷害	12	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0.9		0	3			sound/skilleffect/dao/dao1.wav					
102053	聖•霸氣斬	對自己周圍敵人造成100%攻擊傷害	12	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	1		0	3			sound/skilleffect/dao/dao1.wav					
103053	皇•霸氣斬	對自己周圍敵人造成110%攻擊傷害	12	Ani_daoguang		1	1	2	300	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	1.1		0	3			sound/skilleffect/dao/dao1.wav					
100054	嗜血魔槍	普通攻擊傷害的30%轉變為自身生命，持續時間與武力有關	12	xixue_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0.3		5	0	2		sound/skilleffect/zhenyi/zengyi.wav					
101054	鬼•嗜血魔槍	普通攻擊傷害的40%轉變為自身生命，持續時間與武力有關	12	xixue_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0.4		5	0	2		sound/skilleffect/zhenyi/zengyi.wav					
102054	聖•嗜血魔槍	普通攻擊傷害的50%轉變為自身生命，持續時間與武力有關	12	xixue_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0.5		5	0	2		sound/skilleffect/zhenyi/zengyi.wav					
103054	皇•嗜血魔槍	普通攻擊傷害的60%轉變為自身生命，持續時間與武力有關	12	xixue_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0.6		5	0	2		sound/skilleffect/zhenyi/zengyi.wav					
300055	風雪冰天	敵方全軍的所有單位冰凍，持續3S	12	Ani_ice		4	2	2	0	0	0	0	0	0	0	1	0	0	1	180	180	5	0	0	0	0	4	0	1	3	sound/skilleffect/bing/bin1.wav					
301055	鬼•風雪冰天	敵方全軍的所有單位冰凍，持續4S	12	Ani_ice		4	2	2	0	0	0	0	0	0	0	1	0	0	1	240	240	5	0	0	0	0	5	0	1	3	sound/skilleffect/bing/bin1.wav					
302055	聖•風雪冰天	敵方全軍的所有單位冰凍，持續5S	12	Ani_ice		4	2	2	0	0	0	0	0	0	0	1	0	0	1	300	300	5	0	0	0	0	6	0	1	3	sound/skilleffect/bing/bin1.wav					
303055	皇•風雪冰天	敵方全軍的所有單位冰凍，持續6S	12	Ani_ice		4	2	2	0	0	0	0	0	0	0	1	0	0	1	360	360	5	0	0	0	0	7	0	1	3	sound/skilleffect/bing/bin1.wav					
100056	白馬義從	提升自身60%法術強度，持續時間與武力有關	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	4	0	0.6		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
101056	鬼•白馬義從	提升自身70%法術強度，持續時間與武力有關	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	4	0	0.7		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
102056	聖•白馬義從	提升自身80%法術強度，持續時間與武力有關	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	4	0	0.8		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
103056	皇•白馬義從	提升自身90%法術強度，持續時間與武力有關	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	4	0	0.9		0	0	2	1	sound/skilleffect/zhenyi/zengyi.wav					
