ID	类型	数量	概率	名字	空行
1	2	1	2	铁剑	
2	2	1	3	铁剑+1	
3	2	1	10	铁剑+2	
4	2	1	2	铁刀	
5	2	1	3	铁刀+1	
6	2	1	10	铁刀+2	
7	2	1	2	铁戟	
8	2	1	3	铁戟+1	
9	2	1	10	铁戟+2	
10	2	1	10	精•铁剑	
11	2	1	7	精•铁剑+1	
12	2	1	4	精•铁剑+2	
13	2	1	4	精•铁剑+3	
14	2	1	10	精•铁刀	
15	2	1	7	精•铁刀+1	
16	2	1	4	精•铁刀+2	
17	2	1	4	精•铁刀+3	
18	2	1	10	精•铁戟	
19	2	1	7	精•铁戟+1	
20	2	1	4	精•铁戟+2	
21	2	1	4	精•铁戟+3	
73	2	1	5	硬皮甲	
74	2	1	10	硬皮甲+1	
75	2	1	30	硬皮甲+2	
76	2	1	5	铁头盔	
77	2	1	10	铁头盔+1	
78	2	1	30	铁头盔+2	
79	2	1	5	珍珠项链	
80	2	1	10	珍珠项链+1	
81	2	1	30	珍珠项链+2	
82	2	1	30	精•硬皮甲	
83	2	1	20	精•硬皮甲+1	
84	2	1	12	精•硬皮甲+2	
85	2	1	12	精•硬皮甲+3	
86	2	1	30	精•铁头盔	
87	2	1	20	精•铁头盔+1	
88	2	1	12	精•铁头盔+2	
89	2	1	12	精•铁头盔+3	
90	2	1	30	精•珍珠项链	
91	2	1	20	精•珍珠项链+1	
92	2	1	12	精•珍珠项链+2	
93	2	1	12	精•珍珠项链+3	
