难度	关卡	基础	额外	空行
1	1	{{-3,4,1000},{-6,4,100},}		
1	2	{{-3,4,1100},{-6,4,100},}		
1	3	{{-3,4,1200},{-6,4,100},}		
1	4	{{-3,4,1300},{-6,4,100},}		
1	5	{{-3,4,1400},{-6,4,100},}	{{44,4,10},{51,4,1},}	
1	6	{{-3,4,1500},{-6,4,100},}		
1	7	{{-3,4,1600},{-6,4,100},}		
1	8	{{-3,4,1700},{-6,4,100},}		
1	9	{{-3,4,1800},{-6,4,100},}		
1	10	{{-3,4,1900},{-6,4,100},}	{{-6,4,1000},{51,4,1},}	
1	11	{{-3,4,2000},{-6,4,100},}		
1	12	{{-3,4,2100},{-6,4,100},}		
1	13	{{-3,4,2200},{-6,4,100},}		
1	14	{{-3,4,2300},{-6,4,100},}		
1	15	{{-3,4,2400},{-6,4,100},}	{{43,4,20},{51,4,1},}	
1	16	{{-3,4,2500},{-6,4,100},}		
1	17	{{-3,4,2600},{-6,4,100},}		
1	18	{{-3,4,2700},{-6,4,100},}		
1	19	{{-3,4,2800},{-6,4,100},}		
1	20	{{-3,4,2900},{-6,4,100},}	{{-6,4,2000},{51,4,1},}	
1	21	{{-3,4,3000},{-6,4,100},}		
1	22	{{-3,4,3100},{-6,4,100},}		
1	23	{{-3,4,3200},{-6,4,100},}		
1	24	{{-3,4,3300},{-6,4,100},}		
1	25	{{-3,4,3400},{-6,4,100},}	{{4,4,10},{51,4,1},}	
1	26	{{-3,4,3500},{-6,4,100},}		
1	27	{{-3,4,3600},{-6,4,100},}		
1	28	{{-3,4,3700},{-6,4,100},}		
1	29	{{-3,4,3800},{-6,4,100},}		
1	30	{{-3,4,3900},{-6,4,100},}	{{-6,4,3000},{51,4,1},}	
1	31	{{-3,4,4000},{-6,4,100},}		
1	32	{{-3,4,4100},{-6,4,100},}		
1	33	{{-3,4,4200},{-6,4,100},}		
1	34	{{-3,4,4300},{-6,4,100},}		
1	35	{{-3,4,4400},{-6,4,100},}	{{40,4,5},{51,4,1},}	
1	36	{{-3,4,4500},{-6,4,100},}		
1	37	{{-3,4,4600},{-6,4,100},}		
1	38	{{-3,4,4700},{-6,4,100},}		
1	39	{{-3,4,4800},{-6,4,100},}		
1	40	{{-3,4,4900},{-6,4,100},}	{{-6,4,4000},{51,4,2},}	
1	41	{{-3,4,5000},{-6,4,100},}		
1	42	{{-3,4,5100},{-6,4,100},}		
1	43	{{-3,4,5200},{-6,4,100},}		
1	44	{{-3,4,5300},{-6,4,100},}		
1	45	{{-3,4,5400},{-6,4,100},}	{{44,4,10},{51,4,2},}	
1	46	{{-3,4,5500},{-6,4,100},}		
1	47	{{-3,4,5600},{-6,4,100},}		
1	48	{{-3,4,5700},{-6,4,100},}		
1	49	{{-3,4,5800},{-6,4,100},}		
1	50	{{-3,4,5900},{-6,4,100},}	{{-6,4,5000},{51,4,2},}	
1	51	{{-3,4,6000},{-6,4,100},}		
1	52	{{-3,4,6100},{-6,4,100},}		
1	53	{{-3,4,6200},{-6,4,100},}		
1	54	{{-3,4,6300},{-6,4,100},}		
1	55	{{-3,4,6400},{-6,4,100},}	{{43,4,30},{51,4,2},}	
1	56	{{-3,4,6500},{-6,4,100},}		
1	57	{{-3,4,6600},{-6,4,100},}		
1	58	{{-3,4,6700},{-6,4,100},}		
1	59	{{-3,4,6800},{-6,4,100},}		
1	60	{{-3,4,6900},{-6,4,100},}	{{-6,4,6000},{51,4,2},}	
1	61	{{-3,4,7000},{-6,4,100},}		
1	62	{{-3,4,7100},{-6,4,100},}		
1	63	{{-3,4,7200},{-6,4,100},}		
1	64	{{-3,4,7300},{-6,4,100},}		
1	65	{{-3,4,7400},{-6,4,100},}	{{4,4,20},{51,4,2},}	
1	66	{{-3,4,7500},{-6,4,100},}		
1	67	{{-3,4,7600},{-6,4,100},}		
1	68	{{-3,4,7700},{-6,4,100},}		
1	69	{{-3,4,7800},{-6,4,100},}		
1	70	{{-3,4,7900},{-6,4,100},}	{{-6,4,7000},{51,4,2},}	
1	71	{{-3,4,8000},{-6,4,100},}		
1	72	{{-3,4,8100},{-6,4,100},}		
1	73	{{-3,4,8200},{-6,4,100},}		
1	74	{{-3,4,8300},{-6,4,100},}		
1	75	{{-3,4,8400},{-6,4,100},}	{{40,4,10},{51,4,2},}	
1	76	{{-3,4,8500},{-6,4,100},}		
